Feature A (i)	Feature A (i)-noFeature_B_(2i)	Feature B (2i)	Feature B (2i)-noFeature_B_(2i)	Feature C (-i)	Feature C (-i)-noFeature_B_(2i)	Constant Feature	Constant Feature-noFeature_B_(2i)	Random Feature	Random Feature-noFeature_B_(2i)	Outcome	Outcome-noFeature_B_(2i)
1366	3015	2732	9574	-1366	-3015	1	1	0.0923426808287493	0.08139052448728146	A	A
1368	3020	2736	9574	-1368	-3021	1	1	0.4623974201270832	0.41436990175995514	A	A
1370	3020	2740	9574	-1370	-3021	1	1	0.15551526805510718	0.1556084896784825	A	A
1372	3020	2744	9574	-1372	-3021	1	1	0.9753715903920442	0.9867277963524416	A	A
1373	3026	2746	9574	-1373	-3027	1	1	0.7812926686237686	0.7752105467541478	A	A
1376	3026	2752	9574	-1376	-3027	1	1	0.9839938380793389	0.9867277963524416	A	A
1377	3026	2754	9574	-1377	-3027	1	1	0.7675896387806751	0.7650504588350444	A	A
1378	3026	2756	9574	-1378	-3027	1	1	0.36839517065768435	0.33085674641798635	A	A
1379	3032	2758	9574	-1379	-3033	1	1	0.8866884464763815	0.8844562399641169	A	A
1380	3032	2760	9574	-1380	-3033	1	1	0.024743529137280063	0.02540337192260267	A	A
1382	3032	2764	9574	-1382	-3033	1	1	0.3030697778934274	0.2556376638625464	A	A
1383	3032	2766	9574	-1383	-3033	1	1	0.7890477610449783	0.7752105467541478	A	A
1386	3038	2772	9574	-1386	-3038	1	1	0.052285361487746984	0.046636926221635844	A	A
1387	3038	2774	9574	-1387	-3038	1	1	0.6905035655103365	0.7124266951977283	A	A
1388	3038	2776	9574	-1388	-3038	1	1	0.009584972101777889	0.009431753548861166	A	A
1389	3038	2778	9574	-1389	-3038	1	1	0.2376253896953996	0.20479149534265284	A	A
1390	3043	2780	9574	-1390	-3044	1	1	0.9679295808756648	0.9708335991200716	A	A
1391	3043	2782	9574	-1391	-3044	1	1	0.27437010235410764	0.23139716590926385	A	A
1393	3043	2786	9574	-1393	-3044	1	1	0.32821293082668057	0.29312155847436416	A	A
1394	3043	2788	9574	-1394	-3044	1	1	0.5592543595840791	0.5184576116122209	A	A
1397	3049	2794	9574	-1397	-3050	1	1	0.6203534717715955	0.5970130310756897	A	A
1399	3049	2798	9574	-1399	-3050	1	1	0.3161655493950686	0.2705870793149804	A	A
1400	3049	2800	9574	-1400	-3050	1	1	0.8897213573059041	0.897897211542344	A	A
1401	3049	2802	9574	-1401	-3050	1	1	0.8674242207762006	0.8659373859054671	A	A
1402	3055	2804	9574	-1402	-3056	1	1	0.13653649504200227	0.11766008071769851	A	A
1404	3055	2808	9574	-1404	-3056	1	1	0.4979688304220621	0.45443658440763757	A	A
1406	3055	2812	9574	-1406	-3056	1	1	0.6985808281713393	0.7248533491587095	A	A
1408	3061	2816	9574	-1408	-3062	1	1	0.2704142757570186	0.23139716590926385	A	A
1409	3061	2818	9574	-1409	-3062	1	1	0.9760376704261513	0.9867277963524416	A	A
1410	3061	2820	9574	-1410	-3062	1	1	0.9741338839470775	0.9708335991200716	A	A
1411	3061	2822	9574	-1411	-3062	1	1	0.9179381156194387	0.9155804834289545	A	A
1412	3061	2824	9574	-1412	-3062	1	1	0.6124969418600353	0.5738128596868537	A	A
1414	3067	2828	9574	-1414	-3067	1	1	0.10846865873250955	0.11766008071769851	A	A
1416	3067	2832	9574	-1416	-3067	1	1	0.5296038613355	0.4686479736942557	A	A
1417	3067	2834	9574	-1417	-3067	1	1	0.02692509925936759	0.02540337192260267	A	A
1418	3067	2836	9574	-1418	-3067	1	1	0.024368816673664973	0.02540337192260267	A	A
1419	3072	2838	9574	-1419	-3073	1	1	0.6604460692084784	0.6403485791625139	A	A
1421	3072	2842	9574	-1421	-3073	1	1	0.5956607708917158	0.5603876811308924	A	A
1422	3072	2844	9574	-1422	-3073	1	1	0.6970954608713208	0.7124266951977283	A	A
1424	3072	2848	9574	-1424	-3073	1	1	0.09147157125607963	0.08139052448728146	A	A
1425	3078	2850	9574	-1425	-3079	1	1	0.7612457093917244	0.74048802736636	A	A
1427	3078	2854	9574	-1427	-3079	1	1	0.3309686464734739	0.29312155847436416	A	A
1431	3084	2862	9574	-1431	-3085	1	1	0.6638648225384117	0.6567225731105883	A	A
1434	3084	2868	9574	-1434	-3085	1	1	0.9527594173175555	0.9556519694980462	A	A
1436	3084	2872	9574	-1436	-3085	1	1	0.6829395946040244	0.6676345312549455	A	A
1437	3090	2874	9574	-1437	-3091	1	1	0.8542136635392755	0.8483288367488273	A	A
1438	3090	2876	9574	-1438	-3091	1	1	0.36371427468206063	0.33085674641798635	A	A
1439	3090	2878	9574	-1439	-3091	1	1	0.37697828165219727	0.34394625120281785	A	A
1441	3090	2882	9574	-1441	-3091	1	1	0.9327607716967484	0.9155804834289545	A	A
1444	3096	2888	9574	-1444	-3096	1	1	0.4198722612288657	0.3838453928986345	A	A
1445	3096	2890	9574	-1445	-3096	1	1	0.8444337174086928	0.836604570279811	A	A
1446	3096	2892	9574	-1446	-3096	1	1	0.8546013688869314	0.8483288367488273	A	A
1447	3096	2894	9574	-1447	-3096	1	1	0.03629535398395056	0.02540337192260267	A	A
1448	3101	2896	9574	-1448	-3102	1	1	0.5757735847904645	0.5287072142744291	A	A
1449	3101	2898	9574	-1449	-3102	1	1	0.12183237328671959	0.11766008071769851	A	A
1450	3101	2900	9574	-1450	-3102	1	1	0.6319842650165255	0.6185616736968093	A	A
1452	3101	2904	9574	-1452	-3102	1	1	0.7734411995628534	0.7752105467541478	A	A
1453	3101	2906	9574	-1453	-3102	1	1	0.43694695656277116	0.3994271172644791	A	A
1454	3107	2908	9574	-1454	-3108	1	1	0.8050146153496467	0.7978402972390728	A	A
1455	3107	2910	9574	-1455	-3108	1	1	0.34515578734097996	0.30887378737929305	A	A
1459	3107	2918	9574	-1459	-3108	1	1	0.21479636197757757	0.18991284810616926	A	A
1460	3113	2920	9574	-1460	-3114	1	1	0.9490457403178368	0.9358892092224953	A	A
1461	3113	2922	9574	-1461	-3114	1	1	0.642057496645521	0.6403485791625139	A	A
1462	3113	2924	9574	-1462	-3114	1	1	0.3703195844231397	0.33085674641798635	A	A
1463	3113	2926	9574	-1463	-3114	1	1	0.2187067091926962	0.18991284810616926	A	A
1464	3113	2928	9574	-1464	-3114	1	1	0.4028237363647521	0.36326959483172827	A	A
1465	3113	2930	9574	-1465	-3114	1	1	0.4383020544442353	0.3994271172644791	A	A
1466	3119	2932	9574	-1466	-3120	1	1	0.6867343420245275	0.6865687000926515	A	A
1468	3119	2936	9574	-1468	-3120	1	1	0.1774019088669031	0.17573684250755928	A	A
1469	3119	2938	9574	-1469	-3120	1	1	0.7690724847275675	0.7650504588350444	A	A
1470	3119	2940	9574	-1470	-3120	1	1	0.5882184252065543	0.5437811418999469	A	A
1471	3119	2942	9574	-1471	-3120	1	1	0.24266753041824263	0.2200783515824032	A	A
1472	3125	2944	9574	-1472	-3125	1	1	0.8517140162822318	0.836604570279811	A	A
1474	3125	2948	9574	-1474	-3125	1	1	0.6434991919711737	0.6403485791625139	A	A
1475	3125	2950	9574	-1475	-3125	1	1	0.5299476735573972	0.4863973973956013	A	A
1476	3125	2952	9574	-1476	-3125	1	1	0.5916944943937259	0.5603876811308924	A	A
1477	3130	2954	9574	-1477	-3131	1	1	0.7890055456531859	0.7752105467541478	A	A
1478	3130	2956	9574	-1478	-3131	1	1	0.687003628644293	0.6865687000926515	A	A
1479	3130	2958	9574	-1479	-3131	1	1	0.769510778802168	0.7650504588350444	A	A
1481	3130	2962	9574	-1481	-3131	1	1	0.5718939183292927	0.5287072142744291	A	A
1482	3130	2964	9574	-1482	-3131	1	1	0.22748953228290247	0.20479149534265284	A	A
1483	3136	2966	9574	-1483	-3137	1	1	0.8519725768350616	0.8483288367488273	A	A
1484	3136	2968	9574	-1484	-3137	1	1	0.6695075447591402	0.6567225731105883	A	A
1485	3136	2970	9574	-1485	-3137	1	1	0.5421278721758009	0.5057843245177359	A	A
1486	3136	2972	9574	-1486	-3137	1	1	0.9664158482173663	0.9556519694980462	A	A
1487	3136	2974	9574	-1487	-3137	1	1	0.1424497714431081	0.11766008071769851	A	A
1488	3136	2976	9574	-1488	-3137	1	1	0.8541992752485109	0.8483288367488273	A	A
1490	3142	2980	9574	-1490	-3143	1	1	0.15452325632572028	0.14001508031831478	A	A
1491	3142	2982	9574	-1491	-3143	1	1	0.8632727675174866	0.8659373859054671	A	A
1492	3142	2984	9574	-1492	-3143	1	1	0.9862580483390652	0.9867277963524416	A	A
1493	3142	2986	9574	-1493	-3143	1	1	0.5836039295678518	0.5437811418999469	A	A
1494	3142	2988	9574	-1494	-3143	1	1	0.8959158151595832	0.897897211542344	A	A
1495	3148	2990	9574	-1495	-3148	1	1	0.9357730080979935	0.9358892092224953	A	A
1497	3148	2994	9574	-1497	-3148	1	1	0.17592898010978797	0.17573684250755928	A	A
1501	3153	3002	9574	-1501	-3154	1	1	0.9324803305330005	0.9155804834289545	A	A
1504	3153	3008	9574	-1504	-3154	1	1	0.3957663314541594	0.36326959483172827	A	A
1505	3153	3010	9574	-1505	-3154	1	1	0.3112313427368387	0.2556376638625464	A	A
1508	3159	3016	9574	-1508	-3160	1	1	0.8302503903766947	0.81093086149687	A	A
1509	3159	3018	9574	-1509	-3160	1	1	0.3281752013925153	0.2705870793149804	A	A
1513	3165	3026	9574	-1513	-3166	1	1	0.5296608661812332	0.4863973973956013	A	A
1515	3165	3030	9574	-1515	-3166	1	1	0.321857812498313	0.2705870793149804	A	A
1524	3177	3048	9574	-1524	-3177	1	1	0.9411855942626163	0.9358892092224953	A	A
1526	3177	3052	9574	-1526	-3177	1	1	0.06688235614631621	0.06575410935862658	A	A
1528	3177	3056	9574	-1528	-3177	1	1	0.9358892092224953	0.9358892092224953	A	A
1529	3182	3058	9574	-1529	-3183	1	1	0.09540020152146245	0.09584927697217083	A	A
1530	3182	3060	9574	-1530	-3183	1	1	0.3077488214077788	0.2556376638625464	A	A
1531	3182	3062	9574	-1531	-3183	1	1	0.6726394836589329	0.6676345312549455	A	A
1532	3182	3064	9574	-1532	-3183	1	1	0.06745054547299667	0.06575410935862658	A	A
1533	3182	3066	9574	-1533	-3183	1	1	0.5547025329050291	0.5184576116122209	A	A
1534	3182	3068	9574	-1534	-3183	1	1	0.18987988959103763	0.18991284810616926	A	A
1535	3188	3070	9574	-1535	-3189	1	1	0.7929312970527601	0.7978402972390728	A	A
1536	3188	3072	9574	-1536	-3189	1	1	0.3129227481514164	0.2705870793149804	A	A
1538	3188	3076	9574	-1538	-3189	1	1	0.0751989567036162	0.06575410935862658	A	A
1539	3188	3078	9574	-1539	-3189	1	1	0.39166565377895723	0.34394625120281785	A	A
1540	3188	3080	9574	-1540	-3189	1	1	0.14770238942363167	0.14001508031831478	A	A
1544	3194	3088	9574	-1544	-3195	1	1	0.019950277024499474	0.009431753548861166	A	A
1545	3194	3090	9574	-1545	-3195	1	1	0.1755354834949039	0.17573684250755928	A	A
1549	3200	3098	9574	-1549	-3201	1	1	0.5041573558606979	0.45443658440763757	A	A
1551	3200	3102	9574	-1551	-3201	1	1	0.9704160751263841	0.9708335991200716	A	A
1552	3200	3104	9574	-1552	-3201	1	1	0.455534927410157	0.41436990175995514	A	A
1553	3206	3106	9574	-1553	-3206	1	1	0.5510561334537836	0.5057843245177359	A	A
1556	3206	3112	9574	-1556	-3206	1	1	0.4462632044446674	0.3994271172644791	A	A
1558	3211	3116	9574	-1558	-3212	1	1	0.5137683926084498	0.4686479736942557	A	A
1559	3211	3118	9574	-1559	-3212	1	1	0.897897211542344	0.897897211542344	A	A
1560	3211	3120	9574	-1560	-3212	1	1	0.5528849266031082	0.5057843245177359	A	A
1561	3211	3122	9574	-1561	-3212	1	1	0.6337513193822119	0.6185616736968093	A	A
1564	3217	3128	9574	-1564	-3218	1	1	0.08512998181622378	0.08139052448728146	A	A
1566	3217	3132	9574	-1566	-3218	1	1	0.24847658616722534	0.2200783515824032	A	A
1567	3217	3134	9574	-1567	-3218	1	1	0.6027528676173795	0.5603876811308924	A	A
1568	3217	3136	9574	-1568	-3218	1	1	0.8803179828480598	0.8844562399641169	A	A
1569	3217	3138	9574	-1569	-3218	1	1	0.9705466706744531	0.9708335991200716	A	A
1572	3223	3144	9574	-1572	-3224	1	1	0.6638805736724165	0.6567225731105883	A	A
1573	3223	3146	9574	-1573	-3224	1	1	0.4648266711963571	0.41436990175995514	A	A
1574	3223	3148	9574	-1574	-3224	1	1	0.8235726559027196	0.7978402972390728	A	A
1576	3229	3152	9574	-1576	-3230	1	1	0.4661259911964948	0.43084017934406293	A	A
1577	3229	3154	9574	-1577	-3230	1	1	0.5211672936521694	0.4686479736942557	A	A
1578	3229	3156	9574	-1578	-3230	1	1	0.7074998178906917	0.7248533491587095	A	A
1580	3229	3160	9574	-1580	-3230	1	1	0.5870163831143757	0.5437811418999469	A	A
1581	3229	3162	9574	-1581	-3230	1	1	0.83594171703499	0.836604570279811	A	A
1582	3235	3164	9574	-1582	-3235	1	1	0.5306559890837435	0.4863973973956013	A	A
1583	3235	3166	9574	-1583	-3235	1	1	0.606551373808608	0.5738128596868537	A	A
1584	3235	3168	9574	-1584	-3235	1	1	0.7072784012270489	0.7248533491587095	A	A
1585	3235	3170	9574	-1585	-3235	1	1	0.734373009626446	0.74048802736636	A	A
1586	3235	3172	9574	-1586	-3235	1	1	0.16020059941863463	0.1556084896784825	A	A
1588	3240	3176	9574	-1588	-3241	1	1	0.15169664310181852	0.14001508031831478	A	A
1589	3240	3178	9574	-1589	-3241	1	1	0.705229490352433	0.7248533491587095	A	A
1590	3240	3180	9574	-1590	-3241	1	1	0.3765282571516527	0.34394625120281785	A	A
1591	3240	3182	9574	-1591	-3241	1	1	0.4843810481252414	0.43084017934406293	A	A
1593	3246	3186	9574	-1593	-3247	1	1	0.4699594202389271	0.43084017934406293	A	A
1595	3246	3190	9574	-1595	-3247	1	1	0.040223196869210165	0.046636926221635844	A	A
1596	3246	3192	9574	-1596	-3247	1	1	0.37084404291770867	0.34394625120281785	A	A
1597	3246	3194	9574	-1597	-3247	1	1	0.7234247637552221	0.7248533491587095	A	A
1598	3246	3196	9574	-1598	-3247	1	1	0.6368415612289919	0.6185616736968093	A	A
1600	3252	3200	9574	-1600	-3253	1	1	0.09291962271329557	0.09584927697217083	A	A
1601	3252	3202	9574	-1601	-3253	1	1	0.7730706966944744	0.7752105467541478	A	A
1602	3252	3204	9574	-1602	-3253	1	1	0.8696565791690756	0.8659373859054671	A	A
1603	3252	3206	9574	-1603	-3253	1	1	0.0730898104862654	0.06575410935862658	A	A
1604	3252	3208	9574	-1604	-3253	1	1	0.16332706950857434	0.1556084896784825	A	A
1606	3258	3212	9574	-1606	-3258	1	1	0.6468801869803195	0.6403485791625139	A	A
1609	3258	3218	9574	-1609	-3258	1	1	0.6730036921383072	0.6676345312549455	A	A
1610	3263	3220	9574	-1610	-3264	1	1	0.4494002653909972	0.3994271172644791	A	A
1613	3263	3226	9574	-1613	-3264	1	1	0.4935949869384758	0.45443658440763757	A	A
1614	3263	3228	9574	-1614	-3264	1	1	0.33807826873945257	0.30887378737929305	A	A
1615	3263	3230	9574	-1615	-3264	1	1	0.523645110283029	0.4686479736942557	A	A
1616	3269	3232	9574	-1616	-3270	1	1	0.08552131804254537	0.08139052448728146	A	A
1617	3269	3234	9574	-1617	-3270	1	1	0.03647730909775815	0.046636926221635844	A	A
1618	3269	3236	9574	-1618	-3270	1	1	0.44498203441779216	0.3994271172644791	A	A
1619	3269	3238	9574	-1619	-3270	1	1	0.1648356629552512	0.1556084896784825	A	A
1621	3269	3242	9574	-1621	-3270	1	1	0.6234476433546069	0.5970130310756897	A	A
1622	3275	3244	9574	-1622	-3276	1	1	0.6864552455069827	0.6865687000926515	A	A
1624	3275	3248	9574	-1624	-3276	1	1	0.606307040175097	0.5738128596868537	A	A
1626	3275	3252	9574	-1626	-3276	1	1	0.915425556223921	0.897897211542344	A	A
1627	3275	3254	9574	-1627	-3276	1	1	0.5803515031436528	0.5287072142744291	A	A
1628	3281	3256	9574	-1628	-3282	1	1	0.8468009220399121	0.836604570279811	A	A
1630	3281	3260	9574	-1630	-3282	1	1	0.4098920849785893	0.36326959483172827	A	A
1631	3281	3262	9574	-1631	-3282	1	1	0.6485573245880312	0.6403485791625139	A	A
1632	3281	3264	9574	-1632	-3282	1	1	0.33863349108215723	0.30887378737929305	A	A
1633	3281	3266	9574	-1633	-3282	1	1	0.7722396935057788	0.7650504588350444	A	A
1634	3287	3268	9574	-1634	-3287	1	1	0.6948360096575417	0.7124266951977283	A	A
1635	3287	3270	9574	-1635	-3287	1	1	0.967458012179519	0.9708335991200716	A	A
1636	3287	3272	9574	-1636	-3287	1	1	0.1833069172349926	0.17573684250755928	A	A
1638	3287	3276	9574	-1638	-3287	1	1	0.8597613145143805	0.8659373859054671	A	A
1641	3292	3282	9574	-1641	-3293	1	1	0.9011422511602691	0.897897211542344	A	A
1643	3292	3286	9574	-1643	-3293	1	1	0.28511450535367766	0.2556376638625464	A	A
1644	3292	3288	9574	-1644	-3293	1	1	0.8252609744691636	0.81093086149687	A	A
1645	3298	3290	9574	-1645	-3299	1	1	0.6794152401157615	0.6676345312549455	A	A
1650	3298	3300	9574	-1650	-3299	1	1	0.973138974298211	0.9708335991200716	A	A
1651	2974	3302	9574	-1651	-2975	1	1	0.45505512038819695	0.43084017934406293	A	A
1652	2974	3304	9574	-1652	-2975	1	1	0.9439909737390202	0.9155804834289545	A	A
1655	2974	3310	9574	-1655	-2975	1	1	0.37635889761770924	0.34394625120281785	A	A
1656	2974	3312	9574	-1656	-2975	1	1	0.6367188473936883	0.6185616736968093	A	A
1657	2980	3314	9574	-1657	-2981	1	1	0.939038247749289	0.897897211542344	A	A
1659	2980	3318	9574	-1659	-2981	1	1	0.10616725581542052	0.11766008071769851	A	A
1661	2980	3322	9574	-1661	-2981	1	1	0.32049816215579385	0.30887378737929305	A	A
1662	2980	3324	9574	-1662	-2981	1	1	0.4328406367828542	0.41436990175995514	A	A
1663	2986	3326	9574	-1663	-2986	1	1	0.17041312741560155	0.18991284810616926	A	A
1664	2986	3328	9574	-1664	-2986	1	1	0.6745035882894739	0.6567225731105883	A	A
1665	2986	3330	9574	-1665	-2986	1	1	0.16374622520466442	0.18991284810616926	A	A
1666	2986	3332	9574	-1666	-2986	1	1	0.6950866490421206	0.6676345312549455	A	A
1668	2991	3336	9574	-1668	-2992	1	1	0.06735947036754852	0.06575410935862658	A	A
1669	2991	3338	9574	-1669	-2992	1	1	0.8922040229323701	0.836604570279811	A	A
1670	2991	3340	9574	-1670	-2992	1	1	0.7386408776802375	0.7248533491587095	A	A
1671	2991	3342	9574	-1671	-2992	1	1	0.19560801007269435	0.20479149534265284	A	A
1672	2991	3344	9574	-1672	-2992	1	1	0.6601607479780415	0.6403485791625139	A	A
1673	2991	3346	9574	-1673	-2992	1	1	0.6771271182053117	0.6567225731105883	A	A
1676	2997	3352	9574	-1676	-2998	1	1	0.12350801000695111	0.14001508031831478	A	A
1677	2997	3354	9574	-1677	-2998	1	1	0.849510607578986	0.7978402972390728	A	A
1678	2997	3356	9574	-1678	-2998	1	1	0.9536491905328045	0.9155804834289545	A	A
1681	3003	3362	9574	-1681	-3004	1	1	0.007961661234341944	0.009431753548861166	A	A
1683	3003	3366	9574	-1683	-3004	1	1	0.9821004490869545	0.9708335991200716	A	A
1684	3003	3368	9574	-1684	-3004	1	1	0.2211916812607303	0.23139716590926385	A	A
1685	3003	3370	9574	-1685	-3004	1	1	0.2262970815123373	0.2556376638625464	A	A
1687	3009	3374	9574	-1687	-3010	1	1	0.36802094773926497	0.34394625120281785	A	A
1688	3009	3376	9574	-1688	-3010	1	1	0.7380954957883777	0.7124266951977283	A	A
1689	3009	3378	9574	-1689	-3010	1	1	0.1268817344543718	0.14001508031831478	A	A
1690	3009	3380	9574	-1690	-3010	1	1	0.9235135946389198	0.897897211542344	A	A
1691	3009	3382	9574	-1691	-3010	1	1	0.2166772139552886	0.23139716590926385	A	A
1693	3015	3386	9574	-1693	-3015	1	1	0.5894763589431622	0.5603876811308924	A	A
1694	3015	3388	9574	-1694	-3015	1	1	0.8080767470413586	0.7752105467541478	A	A
1697	3020	3394	9574	-1697	-3021	1	1	0.3919418199284421	0.3838453928986345	A	A
1700	3020	3400	9574	-1700	-3021	1	1	0.23107520109607493	0.2556376638625464	A	A
1701	3020	3402	9574	-1701	-3021	1	1	0.08310480426481182	0.08139052448728146	A	A
1702	3020	3404	9574	-1702	-3021	1	1	0.4799742880254757	0.45443658440763757	A	A
1703	3026	3406	9574	-1703	-3027	1	1	0.5805587594827994	0.5437811418999469	A	A
1704	3026	3408	9574	-1704	-3027	1	1	0.9991191086954441	0.9867277963524416	A	A
1705	3026	3410	9574	-1705	-3027	1	1	0.31795253398526413	0.30887378737929305	A	A
1706	3026	3412	9574	-1706	-3027	1	1	0.5189843296695799	0.5057843245177359	A	A
1708	3026	3416	9574	-1708	-3027	1	1	0.6193508584791556	0.5970130310756897	A	A
1709	3032	3418	9574	-1709	-3033	1	1	0.9548513149959161	0.9358892092224953	A	A
1710	3032	3420	9574	-1710	-3033	1	1	0.5688331089382067	0.5437811418999469	A	A
1711	3032	3422	9574	-1711	-3033	1	1	0.7663493430291268	0.74048802736636	A	A
1712	3032	3424	9574	-1712	-3033	1	1	0.023856251850032928	0.009431753548861166	A	A
1713	3032	3426	9574	-1713	-3033	1	1	0.4517260923906399	0.43084017934406293	A	A
1715	3038	3430	9574	-1715	-3038	1	1	0.41350392073763265	0.3994271172644791	A	A
1716	3038	3432	9574	-1716	-3038	1	1	0.5310805115460789	0.5184576116122209	A	A
1718	3038	3436	9574	-1718	-3038	1	1	0.6905478011033693	0.6676345312549455	A	A
1719	3038	3438	9574	-1719	-3038	1	1	0.9638008592751904	0.9358892092224953	A	A
1720	3043	3440	9574	-1720	-3044	1	1	0.8993357845843626	0.8483288367488273	A	A
1721	3043	3442	9574	-1721	-3044	1	1	0.2213541750081336	0.23139716590926385	A	A
1722	3043	3444	9574	-1722	-3044	1	1	0.4698306152051547	0.45443658440763757	A	A
1726	3049	3452	9574	-1726	-3050	1	1	0.13211145554135761	0.14001508031831478	A	A
1727	3049	3454	9574	-1727	-3050	1	1	0.4241948748443497	0.41436990175995514	A	A
1728	3049	3456	9574	-1728	-3050	1	1	0.6831573293493708	0.6676345312549455	A	A
1730	3049	3460	9574	-1730	-3050	1	1	0.602950677519856	0.5738128596868537	A	A
1732	3055	3464	9574	-1732	-3056	1	1	0.6802345597902167	0.6567225731105883	A	A
1733	3055	3466	9574	-1733	-3056	1	1	0.645549296926382	0.6185616736968093	A	A
1734	3055	3468	9574	-1734	-3056	1	1	0.9856823932743453	0.9867277963524416	A	A
1736	3055	3472	9574	-1736	-3056	1	1	0.630988161384566	0.5970130310756897	A	A
1738	3061	3476	9574	-1738	-3062	1	1	0.9128052250992914	0.8659373859054671	A	A
1739	3061	3478	9574	-1739	-3062	1	1	0.327518857256467	0.33085674641798635	A	A
1740	3061	3480	9574	-1740	-3062	1	1	0.14595051425918848	0.1556084896784825	A	A
1742	3061	3484	9574	-1742	-3062	1	1	0.2944125893639117	0.29312155847436416	A	A
1743	3061	3486	9574	-1743	-3062	1	1	0.7321621705994261	0.7124266951977283	A	A
1746	3067	3492	9574	-1746	-3067	1	1	0.055177285145186605	0.02540337192260267	A	A
1747	3067	3494	9574	-1747	-3067	1	1	0.5904698848281087	0.5603876811308924	A	A
1748	3067	3496	9574	-1748	-3067	1	1	0.24056206132504032	0.2556376638625464	A	A
1750	3072	3500	9574	-1750	-3073	1	1	0.5692106735405412	0.5437811418999469	A	A
1751	3072	3502	9574	-1751	-3073	1	1	0.057652285341722065	0.046636926221635844	A	A
1752	3072	3504	9574	-1752	-3073	1	1	0.33228861503554585	0.33085674641798635	A	A
1753	3072	3506	9574	-1753	-3073	1	1	0.2550083618786513	0.2705870793149804	A	A
1754	3072	3508	9574	-1754	-3073	1	1	0.6611084903808346	0.6403485791625139	A	A
1755	3078	3510	9574	-1755	-3079	1	1	0.5666241136100454	0.5287072142744291	A	A
1756	3078	3512	9574	-1756	-3079	1	1	0.9051600459537045	0.8483288367488273	A	A
1758	3078	3516	9574	-1758	-3079	1	1	0.21053985418566923	0.23139716590926385	A	A
1760	3078	3520	9574	-1760	-3079	1	1	0.2930515875084606	0.29312155847436416	A	A
1764	3084	3528	9574	-1764	-3085	1	1	0.7336452738751119	0.7124266951977283	A	A
1765	3084	3530	9574	-1765	-3085	1	1	0.4546584465954976	0.43084017934406293	A	A
1766	3084	3532	9574	-1766	-3085	1	1	0.9855434331396827	0.9867277963524416	A	A
1768	3090	3536	9574	-1768	-3091	1	1	0.0722824290630456	0.08139052448728146	A	A
1769	3090	3538	9574	-1769	-3091	1	1	0.9269243198195444	0.897897211542344	A	A
1770	3090	3540	9574	-1770	-3091	1	1	0.5433536653183896	0.5287072142744291	A	A
1771	3090	3542	9574	-1771	-3091	1	1	0.9229705237391328	0.8844562399641169	A	A
1772	3090	3544	9574	-1772	-3091	1	1	0.8727709742883908	0.81093086149687	A	A
1774	3096	3548	9574	-1774	-3096	1	1	0.5316755466093728	0.5184576116122209	A	A
1776	3096	3552	9574	-1776	-3096	1	1	0.38742337630688684	0.36326959483172827	A	A
1777	3096	3554	9574	-1777	-3096	1	1	0.5057109052103254	0.4863973973956013	A	A
1778	3101	3556	9574	-1778	-3102	1	1	0.5364676566761873	0.5184576116122209	A	A
1779	3101	3558	9574	-1779	-3102	1	1	0.6732045015174335	0.6567225731105883	A	A
1780	3101	3560	9574	-1780	-3102	1	1	0.06590615116905663	0.06575410935862658	A	A
1781	3101	3562	9574	-1781	-3102	1	1	0.4254276922505288	0.41436990175995514	A	A
1782	3101	3564	9574	-1782	-3102	1	1	0.6637914523066742	0.6403485791625139	A	A
1783	3101	3566	9574	-1783	-3102	1	1	0.9550341436004985	0.9358892092224953	A	A
1785	3107	3570	9574	-1785	-3108	1	1	0.7542210657897184	0.7248533491587095	A	A
1786	3107	3572	9574	-1786	-3108	1	1	0.5269624387843885	0.5057843245177359	A	A
1788	3107	3576	9574	-1788	-3108	1	1	0.16123217000985024	0.17573684250755928	A	A
1789	3107	3578	9574	-1789	-3108	1	1	0.8668836412055324	0.81093086149687	A	A
1791	3113	3582	9574	-1791	-3114	1	1	0.4946843826442069	0.4686479736942557	A	A
1792	3113	3584	9574	-1792	-3114	1	1	0.2201948018678438	0.23139716590926385	A	A
1793	3113	3586	9574	-1793	-3114	1	1	0.910413810989292	0.8483288367488273	A	A
1795	3113	3590	9574	-1795	-3114	1	1	0.20825632823401374	0.23139716590926385	A	A
1798	3119	3596	9574	-1798	-3120	1	1	0.9067238404916425	0.8483288367488273	A	A
1799	3119	3598	9574	-1799	-3120	1	1	0.9531142772377286	0.9155804834289545	A	A
1800	3119	3600	9574	-1800	-3120	1	1	0.07848752472093012	0.08139052448728146	A	A
1801	3119	3602	9574	-1801	-3120	1	1	0.9926132617110691	0.9867277963524416	A	A
1802	3125	3604	9574	-1802	-3125	1	1	0.9544134615396381	0.9358892092224953	A	A
1803	3125	3606	9574	-1803	-3125	1	1	0.6477974391190868	0.6185616736968093	A	A
1804	3125	3608	9574	-1804	-3125	1	1	0.4716800333435003	0.45443658440763757	A	A
1805	3125	3610	9574	-1805	-3125	1	1	0.18513987923672703	0.18991284810616926	A	A
1810	3130	3620	9574	-1810	-3131	1	1	0.6614716152547626	0.6403485791625139	A	A
1811	3130	3622	9574	-1811	-3131	1	1	0.3131360646579948	0.30887378737929305	A	A
1812	3130	3624	9574	-1812	-3131	1	1	0.538455266238793	0.5184576116122209	A	A
