Feature A (i)	Feature A (i)-noFeature_C_(-i)	Feature B (2i)	Feature B (2i)-noFeature_C_(-i)	Feature C (-i)	Feature C (-i)-noFeature_C_(-i)	Constant Feature	Constant Feature-noFeature_C_(-i)	Random Feature	Random Feature-noFeature_C_(-i)	Outcome	Outcome-noFeature_C_(-i)
2068	2729	4136	5458	-2068	-1212	1	1	0.21972966335891964	0.22041899908405316	A	A
2069	2729	4138	5458	-2069	-1212	1	1	0.6188104716609718	0.6131793130866995	A	A
2071	2729	4142	5458	-2071	-1212	1	1	0.15866752999780054	0.1520372454774349	A	A
2072	2729	4144	5458	-2072	-1212	1	1	0.5815682714264501	0.582537627789942	A	A
2074	2735	4148	5470	-2074	-1212	1	1	0.13603781907097745	0.13575200988301828	A	A
2075	2735	4150	5470	-2075	-1212	1	1	0.12397701076009726	0.1179020570763114	A	A
2079	2741	4158	5482	-2079	-1212	1	1	0.9887047521646695	0.985744768217679	A	A
2080	2741	4160	5482	-2080	-1212	1	1	0.5371281621530575	0.5687152792565979	A	A
2083	2741	4166	5482	-2083	-1212	1	1	0.9250739121959811	0.9201280995449436	A	A
2084	2746	4168	5492	-2084	-1212	1	1	0.37172753689179006	0.3976380625702378	A	A
2090	2752	4180	5504	-2090	-1212	1	1	0.19036145825709072	0.18513987923672703	A	A
2092	2752	4184	5504	-2092	-1212	1	1	0.7968843356000147	0.8055533991471695	A	A
2093	2752	4186	5504	-2093	-1212	1	1	0.4584134806346578	0.4982817158659174	A	A
2094	2752	4188	5504	-2094	-1212	1	1	0.2275493795638367	0.23168224529179748	A	A
2095	2752	4190	5504	-2095	-1212	1	1	0.1497340850710892	0.1520372454774349	A	A
2096	2758	4192	5516	-2096	-1212	1	1	0.6199793730309391	0.6336483877439453	A	A
2097	2758	4194	5516	-2097	-1212	1	1	0.5001601482724661	0.5200480604633302	A	A
2098	2758	4196	5516	-2098	-1212	1	1	0.28781300824167033	0.27476148850200977	A	A
2099	2758	4198	5516	-2099	-1212	1	1	0.9485255371698378	0.940938327787818	A	A
2103	2764	4206	5528	-2103	-1212	1	1	0.17226865257555002	0.1642650866458556	A	A
2104	2764	4208	5528	-2104	-1212	1	1	0.3921840496890653	0.4283262058113855	A	A
2105	2764	4210	5528	-2105	-1212	1	1	0.5492633972616967	0.5687152792565979	A	A
2107	2769	4214	5538	-2107	-1212	1	1	0.4019613690313628	0.4283262058113855	A	A
2109	2769	4218	5538	-2109	-1212	1	1	0.7231898306046227	0.7386408776802375	A	A
2113	2775	4226	5550	-2113	-1212	1	1	0.3819607269395564	0.41618841333222234	A	A
2115	2775	4230	5550	-2115	-1212	1	1	0.5864178341636732	0.582537627789942	A	A
2116	2775	4232	5550	-2116	-1212	1	1	0.9903829861159332	0.985744768217679	A	A
2117	2775	4234	5550	-2117	-1212	1	1	0.40792127620737306	0.45243048498421456	A	A
2118	2775	4236	5550	-2118	-1212	1	1	0.16849576671682098	0.1642650866458556	A	A
2119	2781	4238	5562	-2119	-1212	1	1	0.22348811840741178	0.22041899908405316	A	A
2122	2781	4244	5562	-2122	-1212	1	1	0.8688576668837227	0.8457692599892734	A	A
2123	2781	4246	5562	-2123	-1212	1	1	0.25469432613726906	0.25854697252696457	A	A
2124	2781	4248	5562	-2124	-1212	1	1	0.9108778393631544	0.9027350063094405	A	A
2125	2787	4250	5574	-2125	-1212	1	1	0.15227184889792944	0.1520372454774349	A	A
2128	2787	4256	5574	-2128	-1212	1	1	0.44623194311024117	0.4824381759363401	A	A
2129	2787	4258	5574	-2129	-1212	1	1	0.8115346674401637	0.8055533991471695	A	A
2130	2787	4260	5574	-2130	-1212	1	1	0.8903138700787162	0.8839101610867179	A	A
2132	2793	4264	5586	-2132	-1212	1	1	0.9048795444853772	0.9027350063094405	A	A
2135	2793	4270	5586	-2135	-1212	1	1	0.08343227514126861	0.07522454865778105	A	A
2136	2798	4272	5596	-2136	-1212	1	1	0.8862017307920507	0.8710826164665462	A	A
2139	2798	4278	5596	-2139	-1212	1	1	0.9013841969574511	0.8839101610867179	A	A
2140	2798	4280	5596	-2140	-1212	1	1	0.019775878221396814	0.008592140326145858	A	A
2141	2798	4282	5596	-2141	-1212	1	1	0.9956565607449973	0.985744768217679	A	A
2142	2804	4284	5608	-2142	-1212	1	1	0.6232053930501994	0.6336483877439453	A	A
2143	2804	4286	5608	-2143	-1212	1	1	0.43719815352378943	0.4824381759363401	A	A
2144	2804	4288	5608	-2144	-1212	1	1	0.5251674257666805	0.5687152792565979	A	A
2145	2804	4290	5608	-2145	-1212	1	1	0.9606080476232203	0.940938327787818	A	A
2146	2804	4292	5608	-2146	-1212	1	1	0.7962361923109009	0.8055533991471695	A	A
2148	2810	4296	5620	-2148	-1212	1	1	0.36225098711200154	0.3645500084328399	A	A
2149	2810	4298	5620	-2149	-1212	1	1	0.24654726468621269	0.23168224529179748	A	A
2150	2810	4300	5620	-2150	-1212	1	1	0.43638426445459666	0.47641504446250105	A	A
2151	2810	4302	5620	-2151	-1212	1	1	0.3244299588889442	0.3328687627974606	A	A
2153	2810	4306	5620	-2153	-1212	1	1	0.4896964537429205	0.5200480604633302	A	A
2155	2816	4310	5632	-2155	-1212	1	1	0.9240209407803606	0.9027350063094405	A	A
2158	2816	4316	5632	-2158	-1212	1	1	0.8562013472995553	0.8285385294664941	A	A
2159	2816	4318	5632	-2159	-1212	1	1	0.9410849271674921	0.9201280995449436	A	A
2160	2822	4320	5644	-2160	-1212	1	1	0.5093864177025549	0.5468257337781519	A	A
2164	2822	4328	5644	-2164	-1212	1	1	0.4207778617272512	0.45243048498421456	A	A
2165	2827	4330	5654	-2165	-1212	1	1	0.868113657740247	0.8457692599892734	A	A
2166	2827	4332	5654	-2166	-1212	1	1	0.6098014505255229	0.5979874343679255	A	A
2168	2827	4336	5654	-2168	-1212	1	1	0.25600008041373823	0.25854697252696457	A	A
2169	2827	4338	5654	-2169	-1212	1	1	0.36652639946655885	0.3837438429114993	A	A
2170	2827	4340	5654	-2170	-1212	1	1	0.015362985618663338	0.008592140326145858	A	A
2172	2833	4344	5666	-2172	-1212	1	1	0.9341609857632943	0.9201280995449436	A	A
2173	2833	4346	5666	-2173	-1212	1	1	0.3195963359822085	0.3154430469533932	A	A
2174	2833	4348	5666	-2174	-1212	1	1	0.34505460662560095	0.350578695746261	A	A
2175	2833	4350	5666	-2175	-1212	1	1	0.8454262456937516	0.8285385294664941	A	A
2176	2833	4352	5666	-2176	-1212	1	1	0.11375639937190096	0.09631320509214214	A	A
2184	2845	4368	5690	-2184	-1212	1	1	0.6801787568099819	0.6827160525262556	A	A
2186	2845	4372	5690	-2186	-1212	1	1	0.364748030599368	0.3837438429114993	A	A
2187	2845	4374	5690	-2187	-1212	1	1	0.408107639336447	0.45243048498421456	A	A
2189	2851	4378	5702	-2189	-1212	1	1	0.666644204040869	0.6618908494241688	A	A
2190	2851	4380	5702	-2190	-1212	1	1	0.8591879026343555	0.8457692599892734	A	A
2191	2851	4382	5702	-2191	-1212	1	1	0.3894524173755852	0.41618841333222234	A	A
2192	2851	4384	5702	-2192	-1212	1	1	0.4375121405311774	0.4824381759363401	A	A
2195	2856	4390	5712	-2195	-1212	1	1	0.09576545741484843	0.07522454865778105	A	A
2196	2856	4392	5712	-2196	-1212	1	1	0.11647894748410548	0.1179020570763114	A	A
2197	2856	4394	5712	-2197	-1212	1	1	0.8652068725450855	0.8457692599892734	A	A
2198	2856	4396	5712	-2198	-1212	1	1	0.043803898748470904	0.040223196869210165	A	A
2202	2862	4404	5724	-2202	-1212	1	1	0.3811706675950851	0.3976380625702378	A	A
2203	2862	4406	5724	-2203	-1212	1	1	0.13442387292164215	0.13575200988301828	A	A
2204	2862	4408	5724	-2204	-1212	1	1	0.6154427843779913	0.6131793130866995	A	A
2206	2868	4412	5736	-2206	-1212	1	1	0.22041899908405316	0.22041899908405316	A	A
2207	2868	4414	5736	-2207	-1212	1	1	0.7024663785915727	0.7025024851846564	A	A
2208	2868	4416	5736	-2208	-1212	1	1	0.9942700895910132	0.985744768217679	A	A
2209	2868	4418	5736	-2209	-1212	1	1	0.3005301657955931	0.2944125893639117	A	A
2211	2868	4422	5736	-2211	-1212	1	1	0.7052948150613724	0.7025024851846564	A	A
2212	2874	4424	5748	-2212	-1212	1	1	0.8305811159100519	0.8285385294664941	A	A
2213	2874	4426	5748	-2213	-1212	1	1	0.3310740237429085	0.3328687627974606	A	A
2214	2874	4428	5748	-2214	-1212	1	1	0.06309626711925698	0.062353353740606354	A	A
2215	2874	4430	5748	-2215	-1212	1	1	0.38169467712978367	0.3976380625702378	A	A
2217	2879	4434	5758	-2217	-1212	1	1	0.2740820706916216	0.27476148850200977	A	A
2218	2879	4436	5758	-2218	-1212	1	1	0.22036609614170655	0.22041899908405316	A	A
2219	2879	4438	5758	-2219	-1212	1	1	0.168217469894407	0.1642650866458556	A	A
2220	2879	4440	5758	-2220	-1212	1	1	0.39776255248836645	0.4283262058113855	A	A
2221	2879	4442	5758	-2221	-1212	1	1	0.1311318536272691	0.13575200988301828	A	A
2222	2879	4444	5758	-2222	-1212	1	1	0.035090927285217455	0.040223196869210165	A	A
2223	2885	4446	5770	-2223	-1212	1	1	0.5832974219420805	0.582537627789942	A	A
2224	2885	4448	5770	-2224	-1212	1	1	0.3630826690282398	0.3645500084328399	A	A
2226	2885	4452	5770	-2226	-1212	1	1	0.7205344716986775	0.7386408776802375	A	A
2227	2885	4454	5770	-2227	-1212	1	1	0.28967581238257933	0.2944125893639117	A	A
2228	2885	4456	5770	-2228	-1212	1	1	0.5294853641284262	0.5687152792565979	A	A
2229	2891	4458	5782	-2229	-1212	1	1	0.13575200988301828	0.13575200988301828	A	A
2230	2891	4460	5782	-2230	-1212	1	1	0.5998111792957994	0.5979874343679255	A	A
2231	2891	4462	5782	-2231	-1212	1	1	0.15257842852144476	0.1520372454774349	A	A
2232	2891	4464	5782	-2232	-1212	1	1	0.14494706966142878	0.13575200988301828	A	A
2233	2891	4466	5782	-2233	-1212	1	1	0.9854624664177797	0.985744768217679	A	A
2236	2897	4472	5794	-2236	-1212	1	1	0.6290859062437546	0.6336483877439453	A	A
2237	2897	4474	5794	-2237	-1212	1	1	0.1501248730665503	0.1520372454774349	A	A
2238	2897	4476	5794	-2238	-1212	1	1	0.5022320848472037	0.5364676566761873	A	A
2239	2897	4478	5794	-2239	-1212	1	1	0.020174307554296722	0.008592140326145858	A	A
2243	2903	4486	5806	-2243	-1212	1	1	0.8852895843767702	0.8710826164665462	A	A
2245	2903	4490	5806	-2245	-1212	1	1	0.4507786101099175	0.4824381759363401	A	A
2246	2908	4492	5816	-2246	-1212	1	1	0.338823904490525	0.350578695746261	A	A
2247	2908	4494	5816	-2247	-1212	1	1	0.9095162461253129	0.9027350063094405	A	A
2249	2908	4498	5816	-2249	-1212	1	1	0.7483960885656433	0.7741845154294321	A	A
2251	2908	4502	5816	-2251	-1212	1	1	0.22576874617689613	0.23168224529179748	A	A
2252	2914	4504	5828	-2252	-1212	1	1	0.22130865431319457	0.22041899908405316	A	A
2257	2914	4514	5828	-2257	-1212	1	1	0.9241555545963437	0.9201280995449436	A	A
2258	2920	4516	5840	-2258	-1212	1	1	0.6977825042277742	0.6827160525262556	A	A
2259	2920	4518	5840	-2259	-1212	1	1	0.5028133020964903	0.5364676566761873	A	A
2260	2920	4520	5840	-2260	-1212	1	1	0.7574477795990372	0.7741845154294321	A	A
2261	2920	4522	5840	-2261	-1212	1	1	0.02559069629583466	0.024809866852586904	A	A
2262	2920	4524	5840	-2262	-1212	1	1	0.6361198368566958	0.6482322739693153	A	A
2263	2920	4526	5840	-2263	-1212	1	1	0.6574330626775144	0.6618908494241688	A	A
2264	2926	4528	5852	-2264	-1212	1	1	0.09788726874127374	0.09631320509214214	A	A
2265	2926	4530	5852	-2265	-1212	1	1	0.5024018976347001	0.5364676566761873	A	A
2266	2926	4532	5852	-2266	-1212	1	1	0.8375239499338033	0.8285385294664941	A	A
2271	2932	4542	5864	-2271	-1212	1	1	0.8148666202491294	0.8055533991471695	A	A
2274	2932	4548	5864	-2274	-1212	1	1	0.7691255088567531	0.7922948059168434	A	A
2275	2937	4550	5874	-2275	-1212	1	1	0.273291051308419	0.27476148850200977	A	A
2276	2937	4552	5874	-2276	-1212	1	1	0.9094501901726042	0.9027350063094405	A	A
2277	2937	4554	5874	-2277	-1212	1	1	0.15963876091289886	0.1520372454774349	A	A
2279	2937	4558	5874	-2279	-1212	1	1	0.6560668005072094	0.6618908494241688	A	A
2281	2943	4562	5886	-2281	-1212	1	1	0.9739756521411029	0.9708335991200716	A	A
2282	2943	4564	5886	-2282	-1212	1	1	0.050119384213060725	0.062353353740606354	A	A
2283	2943	4566	5886	-2283	-1212	1	1	0.06560276273244481	0.062353353740606354	A	A
2284	2943	4568	5886	-2284	-1212	1	1	0.03985472314904359	0.040223196869210165	A	A
2286	2943	4572	5886	-2286	-1212	1	1	0.1829891453241801	0.18513987923672703	A	A
2287	2949	4574	5898	-2287	-1212	1	1	0.7156792813766347	0.7191643211606201	A	A
2288	2949	4576	5898	-2288	-1212	1	1	0.019938901080986504	0.008592140326145858	A	A
2289	2949	4578	5898	-2289	-1212	1	1	0.07829173610777596	0.07522454865778105	A	A
2290	2949	4580	5898	-2290	-1212	1	1	0.5218302910177509	0.5468257337781519	A	A
2291	2949	4582	5898	-2291	-1212	1	1	0.4962978418136682	0.5200480604633302	A	A
2292	2949	4584	5898	-2292	-1212	1	1	0.613964752355126	0.6131793130866995	A	A
2293	2955	4586	5910	-2293	-1212	1	1	0.7363369613526833	0.7588862688703896	A	A
2294	2955	4588	5910	-2294	-1212	1	1	0.3149343356838952	0.3154430469533932	A	A
2295	2955	4590	5910	-2295	-1212	1	1	0.7243973195366329	0.7386408776802375	A	A
2297	2955	4594	5910	-2297	-1212	1	1	0.7362350274124753	0.7588862688703896	A	A
2298	2955	4596	5910	-2298	-1212	1	1	0.7165514579756063	0.7386408776802375	A	A
2300	2961	4600	5922	-2300	-1212	1	1	0.9230390246766167	0.9027350063094405	A	A
2301	2961	4602	5922	-2301	-1212	1	1	0.7037423198287971	0.7025024851846564	A	A
2305	2966	4610	5932	-2305	-1212	1	1	0.5910199029555494	0.5979874343679255	A	A
2307	2966	4614	5932	-2307	-1212	1	1	0.7507284098203998	0.7741845154294321	A	A
2310	2972	4620	5944	-2310	-1212	1	1	0.6392326453889382	0.6482322739693153	A	A
2311	2972	4622	5944	-2311	-1212	1	1	0.926148724888785	0.9201280995449436	A	A
2312	2972	4624	5944	-2312	-1212	1	1	0.40048215688092925	0.4283262058113855	A	A
2313	2972	4626	5944	-2313	-1212	1	1	0.11746606096134182	0.1179020570763114	A	A
2315	2972	4630	5944	-2315	-1212	1	1	0.38552283203323257	0.41618841333222234	A	A
2316	2978	4632	5956	-2316	-1212	1	1	0.6704362696386852	0.6827160525262556	A	A
2317	2978	4634	5956	-2317	-1212	1	1	0.8920194483881676	0.8839101610867179	A	A
2319	2978	4638	5956	-2319	-1212	1	1	0.32224749286069654	0.3328687627974606	A	A
2320	2978	4640	5956	-2320	-1212	1	1	0.35382578996858083	0.350578695746261	A	A
2321	2978	4642	5956	-2321	-1212	1	1	0.42967702426607013	0.47641504446250105	A	A
2322	2984	4644	5968	-2322	-1212	1	1	0.05500363846053202	0.062353353740606354	A	A
2323	2984	4646	5968	-2323	-1212	1	1	0.7556700690046881	0.7741845154294321	A	A
2324	2984	4648	5968	-2324	-1212	1	1	0.28250654643682716	0.27476148850200977	A	A
2326	2984	4652	5968	-2326	-1212	1	1	0.21578565710458575	0.20132664405148248	A	A
2327	2989	4654	5978	-2327	-1212	1	1	0.07009619210993301	0.07522454865778105	A	A
2328	2989	4656	5978	-2328	-1212	1	1	0.9775321367897833	0.9708335991200716	A	A
2329	2989	4658	5978	-2329	-1212	1	1	0.8870998601792367	0.8710826164665462	A	A
2336	2995	4672	5990	-2336	-1212	1	1	0.5084822251106589	0.5468257337781519	A	A
2337	2995	4674	5990	-2337	-1212	1	1	0.776744447173982	0.8055533991471695	A	A
2338	2995	4676	5990	-2338	-1212	1	1	0.38949644448362397	0.41618841333222234	A	A
2339	3001	4678	6002	-2339	-1212	1	1	0.0005305089177379818	0.008592140326145858	A	A
2340	3001	4680	6002	-2340	-1212	1	1	0.24628085911351394	0.23168224529179748	A	A
2342	3001	4684	6002	-2342	-1212	1	1	0.3548923380830443	0.3645500084328399	A	A
2343	3001	4686	6002	-2343	-1212	1	1	0.6510707941977262	0.6482322739693153	A	A
2345	3007	4690	6014	-2345	-1212	1	1	0.9435051486044818	0.940938327787818	A	A
2350	3007	4700	6014	-2350	-1212	1	1	0.8046012431374131	0.8055533991471695	A	A
2351	3013	4702	6026	-2351	-1212	1	1	0.8852540349320742	0.8710826164665462	A	A
2352	3013	4704	6026	-2352	-1212	1	1	0.10597753893081718	0.09631320509214214	A	A
2355	3013	4710	6026	-2355	-1212	1	1	0.3095040290378811	0.3154430469533932	A	A
2358	3018	4716	6036	-2358	-1212	1	1	0.6818929979125152	0.6827160525262556	A	A
2359	3018	4718	6036	-2359	-1212	1	1	0.4496897202690192	0.4824381759363401	A	A
2360	3018	4720	6036	-2360	-1212	1	1	0.9812221479298211	0.9708335991200716	A	A
2361	3018	4722	6036	-2361	-1212	1	1	0.25854697252696457	0.25854697252696457	A	A
2362	3024	4724	6048	-2362	-1212	1	1	0.5067055579609682	0.5364676566761873	A	A
2363	3024	4726	6048	-2363	-1212	1	1	0.7322862409433955	0.7386408776802375	A	A
2364	3024	4728	6048	-2364	-1212	1	1	0.7606188482197346	0.7741845154294321	A	A
2365	3024	4730	6048	-2365	-1212	1	1	0.7417212709358859	0.7588862688703896	A	A
2367	3024	4734	6048	-2367	-1212	1	1	0.7016225716195547	0.7025024851846564	A	A
2368	2700	4736	5400	-2368	-1212	1	1	0.2886402315035024	0.25854697252696457	A	A
2369	2700	4738	5400	-2369	-1212	1	1	0.30635620256857454	0.25854697252696457	A	A
2370	2700	4740	5400	-2370	-1212	1	1	0.8786665331689224	0.8839101610867179	A	A
2371	2700	4742	5400	-2371	-1212	1	1	0.16187270646931806	0.13575200988301828	A	A
2373	2700	4746	5400	-2373	-1212	1	1	0.3390259835966619	0.2944125893639117	A	A
2375	2706	4750	5412	-2375	-1212	1	1	0.1776504582379228	0.1520372454774349	A	A
2377	2706	4754	5412	-2377	-1212	1	1	0.9785207056418002	0.9708335991200716	A	A
2378	2706	4756	5412	-2378	-1212	1	1	0.86418107014129	0.8710826164665462	A	A
2379	2706	4758	5412	-2379	-1212	1	1	0.7975362209338002	0.8055533991471695	A	A
2380	2712	4760	5424	-2380	-1212	1	1	0.39319874237582364	0.3645500084328399	A	A
2381	2712	4762	5424	-2381	-1212	1	1	0.5776248638592508	0.582537627789942	A	A
2385	2717	4770	5434	-2385	-1212	1	1	0.04711136583249953	0.040223196869210165	A	A
2387	2717	4774	5434	-2387	-1212	1	1	0.7916788597903259	0.7922948059168434	A	A
2388	2717	4776	5434	-2388	-1212	1	1	0.4526962293133818	0.4283262058113855	A	A
2389	2717	4778	5434	-2389	-1212	1	1	0.3671248963219117	0.3328687627974606	A	A
2390	2717	4780	5434	-2390	-1212	1	1	0.14572833834145027	0.1179020570763114	A	A
2392	2723	4784	5446	-2392	-1212	1	1	0.45457408909018404	0.4283262058113855	A	A
2393	2723	4786	5446	-2393	-1212	1	1	0.6752162221641539	0.6618908494241688	A	A
2396	2723	4792	5446	-2396	-1212	1	1	0.47902170326036764	0.45243048498421456	A	A
2398	2729	4796	5458	-2398	-1212	1	1	0.8278112512881418	0.8285385294664941	A	A
2400	2729	4800	5458	-2400	-1212	1	1	0.9170377698433457	0.9201280995449436	A	A
2401	2729	4802	5458	-2401	-1212	1	1	0.9754215420389315	0.9708335991200716	A	A
2402	2729	4804	5458	-2402	-1212	1	1	0.24152567178239348	0.22041899908405316	A	A
2403	2735	4806	5470	-2403	-1212	1	1	0.5200480604633302	0.5200480604633302	A	A
2404	2735	4808	5470	-2404	-1212	1	1	0.07341929701599426	0.062353353740606354	A	A
2405	2735	4810	5470	-2405	-1212	1	1	0.46398238224683563	0.45243048498421456	A	A
2407	2735	4814	5470	-2407	-1212	1	1	0.9052850230072108	0.9201280995449436	A	A
2408	2735	4816	5470	-2408	-1212	1	1	0.022545721050416634	0.024809866852586904	A	A
2409	2741	4818	5482	-2409	-1212	1	1	0.8454797657725298	0.8457692599892734	A	A
2411	2741	4822	5482	-2411	-1212	1	1	0.4217485058752448	0.3976380625702378	A	A
2412	2741	4824	5482	-2412	-1212	1	1	0.30218247721020675	0.25854697252696457	A	A
2413	2741	4826	5482	-2413	-1212	1	1	0.015853573763724316	0.008592140326145858	A	A
2415	2746	4830	5492	-2415	-1212	1	1	0.7308127418318787	0.7386408776802375	A	A
2416	2746	4832	5492	-2416	-1212	1	1	0.9643560587978132	0.9708335991200716	A	A
2417	2746	4834	5492	-2417	-1212	1	1	0.4660308760749442	0.45243048498421456	A	A
2419	2746	4838	5492	-2419	-1212	1	1	0.4984652825960141	0.4824381759363401	A	A
2420	2752	4840	5504	-2420	-1212	1	1	0.6355554463437433	0.6336483877439453	A	A
2421	2752	4842	5504	-2421	-1212	1	1	0.14686118725838637	0.1179020570763114	A	A
2422	2752	4844	5504	-2422	-1212	1	1	0.09041701923732848	0.07522454865778105	A	A
2423	2752	4846	5504	-2423	-1212	1	1	0.5220723244278394	0.5200480604633302	A	A
2424	2752	4848	5504	-2424	-1212	1	1	0.2654369213359602	0.23168224529179748	A	A
2427	2758	4854	5516	-2427	-1212	1	1	0.970176233981376	0.9708335991200716	A	A
2428	2758	4856	5516	-2428	-1212	1	1	0.7953277160817045	0.8055533991471695	A	A
2429	2758	4858	5516	-2429	-1212	1	1	0.7124266951977283	0.7025024851846564	A	A
2431	2758	4862	5516	-2431	-1212	1	1	0.7293755300194723	0.7191643211606201	A	A
2432	2764	4864	5528	-2432	-1212	1	1	0.21061954431170515	0.18513987923672703	A	A
2434	2764	4868	5528	-2434	-1212	1	1	0.7236966621172806	0.7191643211606201	A	A
2435	2764	4870	5528	-2435	-1212	1	1	0.47131422059076267	0.45243048498421456	A	A
2436	2764	4872	5528	-2436	-1212	1	1	0.9965397814097755	0.985744768217679	A	A
2437	2769	4874	5538	-2437	-1212	1	1	0.49177660452726324	0.4824381759363401	A	A
2438	2769	4876	5538	-2438	-1212	1	1	0.10511696020193906	0.07522454865778105	A	A
2440	2769	4880	5538	-2440	-1212	1	1	0.37783420886578767	0.3328687627974606	A	A
2441	2769	4882	5538	-2441	-1212	1	1	0.25132304468096966	0.23168224529179748	A	A
2442	2769	4884	5538	-2442	-1212	1	1	0.9924294302854825	0.985744768217679	A	A
2445	2775	4890	5550	-2445	-1212	1	1	0.8596963799665773	0.8710826164665462	A	A
2446	2775	4892	5550	-2446	-1212	1	1	0.8433811292869144	0.8457692599892734	A	A
2450	2781	4900	5562	-2450	-1212	1	1	0.864450990914534	0.8710826164665462	A	A
2451	2781	4902	5562	-2451	-1212	1	1	0.6699447014147732	0.6618908494241688	A	A
2453	2781	4906	5562	-2453	-1212	1	1	0.38756834859627864	0.3645500084328399	A	A
2455	2787	4910	5574	-2455	-1212	1	1	0.8734669557557696	0.8839101610867179	A	A
2456	2787	4912	5574	-2456	-1212	1	1	0.3794802996260158	0.350578695746261	A	A
2457	2787	4914	5574	-2457	-1212	1	1	0.6320260535279788	0.6336483877439453	A	A
2459	2787	4918	5574	-2459	-1212	1	1	0.48615290186786286	0.47641504446250105	A	A
2460	2787	4920	5574	-2460	-1212	1	1	0.21527622057648155	0.18513987923672703	A	A
2461	2793	4922	5586	-2461	-1212	1	1	0.7817968646602201	0.7922948059168434	A	A
2462	2793	4924	5586	-2462	-1212	1	1	0.4023482649266279	0.3645500084328399	A	A
2463	2793	4926	5586	-2463	-1212	1	1	0.7716458867517363	0.7741845154294321	A	A
2464	2793	4928	5586	-2464	-1212	1	1	0.9155804834289545	0.9201280995449436	A	A
2465	2793	4930	5586	-2465	-1212	1	1	0.9507364688090262	0.9550538593999985	A	A
2466	2798	4932	5596	-2466	-1212	1	1	0.0005455619483859531	0.008592140326145858	A	A
2467	2798	4934	5596	-2467	-1212	1	1	0.562971629540277	0.5687152792565979	A	A
2468	2798	4936	5596	-2468	-1212	1	1	0.11811397980457061	0.07522454865778105	A	A
2469	2798	4938	5596	-2469	-1212	1	1	0.6192633394518882	0.6131793130866995	A	A
2470	2798	4940	5596	-2470	-1212	1	1	0.04329084832790264	0.024809866852586904	A	A
2472	2804	4944	5608	-2472	-1212	1	1	0.38148637750335845	0.350578695746261	A	A
2473	2804	4946	5608	-2473	-1212	1	1	0.6502569113619084	0.6482322739693153	A	A
2475	2804	4950	5608	-2475	-1212	1	1	0.5200259886188194	0.5200480604633302	A	A
2476	2804	4952	5608	-2476	-1212	1	1	0.20149176879570307	0.1642650866458556	A	A
2477	2804	4954	5608	-2477	-1212	1	1	0.9101814099174448	0.9201280995449436	A	A
2479	2810	4958	5620	-2479	-1212	1	1	0.5750938550650478	0.582537627789942	A	A
2480	2810	4960	5620	-2480	-1212	1	1	0.6890907491171608	0.6827160525262556	A	A
2481	2810	4962	5620	-2481	-1212	1	1	0.34824129055996145	0.3154430469533932	A	A
2482	2810	4964	5620	-2482	-1212	1	1	0.8867934915865107	0.9027350063094405	A	A
2483	2810	4966	5620	-2483	-1212	1	1	0.4491526225720506	0.41618841333222234	A	A
2485	2816	4970	5632	-2485	-1212	1	1	0.8965252711154779	0.9027350063094405	A	A
2487	2816	4974	5632	-2487	-1212	1	1	0.8112980754821574	0.8285385294664941	A	A
2488	2816	4976	5632	-2488	-1212	1	1	0.1947722232964202	0.1642650866458556	A	A
2489	2816	4978	5632	-2489	-1212	1	1	0.05613171097631686	0.040223196869210165	A	A
2490	2822	4980	5644	-2490	-1212	1	1	0.5194543178145484	0.5200480604633302	A	A
2491	2822	4982	5644	-2491	-1212	1	1	0.8854652226564341	0.9027350063094405	A	A
2492	2822	4984	5644	-2492	-1212	1	1	0.8672652116087822	0.8839101610867179	A	A
2493	2822	4986	5644	-2493	-1212	1	1	0.6234860266360917	0.6336483877439453	A	A
2494	2822	4988	5644	-2494	-1212	1	1	0.5591587872921951	0.5687152792565979	A	A
2496	2827	4992	5654	-2496	-1212	1	1	0.7982572437289506	0.8055533991471695	A	A
2497	2827	4994	5654	-2497	-1212	1	1	0.6212481079961105	0.6131793130866995	A	A
2499	2827	4998	5654	-2499	-1212	1	1	0.3790554635736416	0.3328687627974606	A	A
2500	2827	5000	5654	-2500	-1212	1	1	0.4117371455619989	0.3837438429114993	A	A
2503	2833	5006	5666	-2503	-1212	1	1	0.9867277963524416	0.985744768217679	A	A
2504	2833	5008	5666	-2504	-1212	1	1	0.9556519694980462	0.9550538593999985	A	A
2505	2833	5010	5666	-2505	-1212	1	1	0.7303391323837287	0.7386408776802375	A	A
2506	2833	5012	5666	-2506	-1212	1	1	0.3266523917473829	0.27476148850200977	A	A
2511	2839	5022	5678	-2511	-1212	1	1	0.24484688152792589	0.22041899908405316	A	A
2512	2839	5024	5678	-2512	-1212	1	1	0.0534754042940474	0.040223196869210165	A	A
2513	2845	5026	5690	-2513	-1212	1	1	0.23158051708514493	0.20132664405148248	A	A
2514	2845	5028	5690	-2514	-1212	1	1	0.45995911299076553	0.4283262058113855	A	A
2515	2845	5030	5690	-2515	-1212	1	1	0.4410922672762878	0.41618841333222234	A	A
2516	2845	5032	5690	-2516	-1212	1	1	0.20355627941672505	0.1642650866458556	A	A
2517	2845	5034	5690	-2517	-1212	1	1	0.26752595515101363	0.23168224529179748	A	A
2519	2851	5038	5702	-2519	-1212	1	1	0.5931087018773084	0.5979874343679255	A	A
