Feature_A_(i),Feature_A_(i)-noConstant_Feature,Feature_B_(2i),Feature_B_(2i)-noConstant_Feature,Feature_C_(-i),Feature_C_(-i)-noConstant_Feature,Constant_Feature,Constant_Feature-noConstant_Feature,Random_Feature,Random_Feature-noConstant_Feature,Outcome,Outcome-noConstant_Feature
1553,1553,3106,3106,-1553,-1553,1,1,0.5510561334537836,0.5510561334537836,A,A
1556,1556,3112,3112,-1556,-1556,1,1,0.4462632044446674,0.4462632044446674,A,A
1558,1558,3116,3116,-1558,-1558,1,1,0.5137683926084498,0.5137683926084498,A,A
1559,1559,3118,3118,-1559,-1559,1,1,0.897897211542344,0.897897211542344,A,A
1560,1560,3120,3120,-1560,-1560,1,1,0.5528849266031082,0.5528849266031082,A,A
1561,1561,3122,3122,-1561,-1561,1,1,0.6337513193822119,0.6337513193822119,A,A
1564,1564,3128,3128,-1564,-1564,1,1,0.08512998181622378,0.08512998181622378,A,A
1566,1566,3132,3132,-1566,-1566,1,1,0.24847658616722534,0.24847658616722534,A,A
1567,1567,3134,3134,-1567,-1567,1,1,0.6027528676173795,0.6027528676173795,A,A
1568,1568,3136,3136,-1568,-1568,1,1,0.8803179828480598,0.8803179828480598,A,A
1569,1569,3138,3138,-1569,-1569,1,1,0.9705466706744531,0.9705466706744531,A,A
1572,1572,3144,3144,-1572,-1572,1,1,0.6638805736724165,0.6638805736724165,A,A
1573,1573,3146,3146,-1573,-1573,1,1,0.4648266711963571,0.4648266711963571,A,A
1574,1574,3148,3148,-1574,-1574,1,1,0.8235726559027196,0.8235726559027196,A,A
1576,1576,3152,3152,-1576,-1576,1,1,0.4661259911964948,0.4661259911964948,A,A
1577,1577,3154,3154,-1577,-1577,1,1,0.5211672936521694,0.5211672936521694,A,A
1578,1578,3156,3156,-1578,-1578,1,1,0.7074998178906917,0.7074998178906917,A,A
1580,1580,3160,3160,-1580,-1580,1,1,0.5870163831143757,0.5870163831143757,A,A
1581,1581,3162,3162,-1581,-1581,1,1,0.83594171703499,0.83594171703499,A,A
1582,1582,3164,3164,-1582,-1582,1,1,0.5306559890837435,0.5306559890837435,A,A
1583,1583,3166,3166,-1583,-1583,1,1,0.606551373808608,0.606551373808608,A,A
1584,1584,3168,3168,-1584,-1584,1,1,0.7072784012270489,0.7072784012270489,A,A
1585,1585,3170,3170,-1585,-1585,1,1,0.734373009626446,0.734373009626446,A,A
1586,1586,3172,3172,-1586,-1586,1,1,0.16020059941863463,0.16020059941863463,A,A
1588,1588,3176,3176,-1588,-1588,1,1,0.15169664310181852,0.15169664310181852,A,A
1589,1589,3178,3178,-1589,-1589,1,1,0.705229490352433,0.705229490352433,A,A
1590,1590,3180,3180,-1590,-1590,1,1,0.3765282571516527,0.3765282571516527,A,A
1591,1591,3182,3182,-1591,-1591,1,1,0.4843810481252414,0.4843810481252414,A,A
1593,1593,3186,3186,-1593,-1593,1,1,0.4699594202389271,0.4699594202389271,A,A
1595,1595,3190,3190,-1595,-1595,1,1,0.040223196869210165,0.040223196869210165,A,A
1596,1596,3192,3192,-1596,-1596,1,1,0.37084404291770867,0.37084404291770867,A,A
1597,1597,3194,3194,-1597,-1597,1,1,0.7234247637552221,0.7234247637552221,A,A
1598,1598,3196,3196,-1598,-1598,1,1,0.6368415612289919,0.6368415612289919,A,A
1600,1600,3200,3200,-1600,-1600,1,1,0.09291962271329557,0.09291962271329557,A,A
1601,1601,3202,3202,-1601,-1601,1,1,0.7730706966944744,0.7730706966944744,A,A
1602,1602,3204,3204,-1602,-1602,1,1,0.8696565791690756,0.8696565791690756,A,A
1603,1603,3206,3206,-1603,-1603,1,1,0.0730898104862654,0.0730898104862654,A,A
1604,1604,3208,3208,-1604,-1604,1,1,0.16332706950857434,0.16332706950857434,A,A
1606,1606,3212,3212,-1606,-1606,1,1,0.6468801869803195,0.6468801869803195,A,A
1609,1609,3218,3218,-1609,-1609,1,1,0.6730036921383072,0.6730036921383072,A,A
1610,1610,3220,3220,-1610,-1610,1,1,0.4494002653909972,0.4494002653909972,A,A
1613,1613,3226,3226,-1613,-1613,1,1,0.4935949869384758,0.4935949869384758,A,A
1614,1614,3228,3228,-1614,-1614,1,1,0.33807826873945257,0.33807826873945257,A,A
1615,1615,3230,3230,-1615,-1615,1,1,0.523645110283029,0.523645110283029,A,A
1616,1616,3232,3232,-1616,-1616,1,1,0.08552131804254537,0.08552131804254537,A,A
1617,1617,3234,3234,-1617,-1617,1,1,0.03647730909775815,0.03647730909775815,A,A
1618,1618,3236,3236,-1618,-1618,1,1,0.44498203441779216,0.44498203441779216,A,A
1619,1619,3238,3238,-1619,-1619,1,1,0.1648356629552512,0.1648356629552512,A,A
1621,1621,3242,3242,-1621,-1621,1,1,0.6234476433546069,0.6234476433546069,A,A
1622,1622,3244,3244,-1622,-1622,1,1,0.6864552455069827,0.6864552455069827,A,A
1624,1624,3248,3248,-1624,-1624,1,1,0.606307040175097,0.606307040175097,A,A
1626,1626,3252,3252,-1626,-1626,1,1,0.915425556223921,0.915425556223921,A,A
1627,1627,3254,3254,-1627,-1627,1,1,0.5803515031436528,0.5803515031436528,A,A
1628,1628,3256,3256,-1628,-1628,1,1,0.8468009220399121,0.8468009220399121,A,A
1630,1630,3260,3260,-1630,-1630,1,1,0.4098920849785893,0.4098920849785893,A,A
1631,1631,3262,3262,-1631,-1631,1,1,0.6485573245880312,0.6485573245880312,A,A
1632,1632,3264,3264,-1632,-1632,1,1,0.33863349108215723,0.33863349108215723,A,A
1633,1633,3266,3266,-1633,-1633,1,1,0.7722396935057788,0.7722396935057788,A,A
1634,1634,3268,3268,-1634,-1634,1,1,0.6948360096575417,0.6948360096575417,A,A
1635,1635,3270,3270,-1635,-1635,1,1,0.967458012179519,0.967458012179519,A,A
1636,1636,3272,3272,-1636,-1636,1,1,0.1833069172349926,0.1833069172349926,A,A
1638,1638,3276,3276,-1638,-1638,1,1,0.8597613145143805,0.8597613145143805,A,A
1641,1641,3282,3282,-1641,-1641,1,1,0.9011422511602691,0.9011422511602691,A,A
1643,1643,3286,3286,-1643,-1643,1,1,0.28511450535367766,0.28511450535367766,A,A
1644,1644,3288,3288,-1644,-1644,1,1,0.8252609744691636,0.8252609744691636,A,A
1645,1645,3290,3290,-1645,-1645,1,1,0.6794152401157615,0.6794152401157615,A,A
1650,1650,3300,3300,-1650,-1650,1,1,0.973138974298211,0.973138974298211,A,A
1651,1651,3302,3302,-1651,-1651,1,1,0.45505512038819695,0.45505512038819695,A,A
1652,1652,3304,3304,-1652,-1652,1,1,0.9439909737390202,0.9439909737390202,A,A
1655,1655,3310,3310,-1655,-1655,1,1,0.37635889761770924,0.37635889761770924,A,A
1656,1656,3312,3312,-1656,-1656,1,1,0.6367188473936883,0.6367188473936883,A,A
1657,1657,3314,3314,-1657,-1657,1,1,0.939038247749289,0.939038247749289,A,A
1659,1659,3318,3318,-1659,-1659,1,1,0.10616725581542052,0.10616725581542052,A,A
1661,1661,3322,3322,-1661,-1661,1,1,0.32049816215579385,0.32049816215579385,A,A
1662,1662,3324,3324,-1662,-1662,1,1,0.4328406367828542,0.4328406367828542,A,A
1663,1663,3326,3326,-1663,-1663,1,1,0.17041312741560155,0.17041312741560155,A,A
1664,1664,3328,3328,-1664,-1664,1,1,0.6745035882894739,0.6745035882894739,A,A
1665,1665,3330,3330,-1665,-1665,1,1,0.16374622520466442,0.16374622520466442,A,A
1666,1666,3332,3332,-1666,-1666,1,1,0.6950866490421206,0.6950866490421206,A,A
1668,1668,3336,3336,-1668,-1668,1,1,0.06735947036754852,0.06735947036754852,A,A
1669,1669,3338,3338,-1669,-1669,1,1,0.8922040229323701,0.8922040229323701,A,A
1670,1670,3340,3340,-1670,-1670,1,1,0.7386408776802375,0.7386408776802375,A,A
1671,1671,3342,3342,-1671,-1671,1,1,0.19560801007269435,0.19560801007269435,A,A
1672,1672,3344,3344,-1672,-1672,1,1,0.6601607479780415,0.6601607479780415,A,A
1673,1673,3346,3346,-1673,-1673,1,1,0.6771271182053117,0.6771271182053117,A,A
1676,1676,3352,3352,-1676,-1676,1,1,0.12350801000695111,0.12350801000695111,A,A
1677,1677,3354,3354,-1677,-1677,1,1,0.849510607578986,0.849510607578986,A,A
1678,1678,3356,3356,-1678,-1678,1,1,0.9536491905328045,0.9536491905328045,A,A
1681,1681,3362,3362,-1681,-1681,1,1,0.007961661234341944,0.007961661234341944,A,A
1683,1683,3366,3366,-1683,-1683,1,1,0.9821004490869545,0.9821004490869545,A,A
1684,1684,3368,3368,-1684,-1684,1,1,0.2211916812607303,0.2211916812607303,A,A
1685,1685,3370,3370,-1685,-1685,1,1,0.2262970815123373,0.2262970815123373,A,A
1687,1687,3374,3374,-1687,-1687,1,1,0.36802094773926497,0.36802094773926497,A,A
1688,1688,3376,3376,-1688,-1688,1,1,0.7380954957883777,0.7380954957883777,A,A
1689,1689,3378,3378,-1689,-1689,1,1,0.1268817344543718,0.1268817344543718,A,A
1690,1690,3380,3380,-1690,-1690,1,1,0.9235135946389198,0.9235135946389198,A,A
1691,1691,3382,3382,-1691,-1691,1,1,0.2166772139552886,0.2166772139552886,A,A
1693,1693,3386,3386,-1693,-1693,1,1,0.5894763589431622,0.5894763589431622,A,A
1694,1694,3388,3388,-1694,-1694,1,1,0.8080767470413586,0.8080767470413586,A,A
1697,1697,3394,3394,-1697,-1697,1,1,0.3919418199284421,0.3919418199284421,A,A
1700,1700,3400,3400,-1700,-1700,1,1,0.23107520109607493,0.23107520109607493,A,A
1701,1701,3402,3402,-1701,-1701,1,1,0.08310480426481182,0.08310480426481182,A,A
1702,1702,3404,3404,-1702,-1702,1,1,0.4799742880254757,0.4799742880254757,A,A
1703,1703,3406,3406,-1703,-1703,1,1,0.5805587594827994,0.5805587594827994,A,A
1704,1704,3408,3408,-1704,-1704,1,1,0.9991191086954441,0.9991191086954441,A,A
1705,1705,3410,3410,-1705,-1705,1,1,0.31795253398526413,0.31795253398526413,A,A
1706,1706,3412,3412,-1706,-1706,1,1,0.5189843296695799,0.5189843296695799,A,A
1708,1708,3416,3416,-1708,-1708,1,1,0.6193508584791556,0.6193508584791556,A,A
1709,1709,3418,3418,-1709,-1709,1,1,0.9548513149959161,0.9548513149959161,A,A
1710,1710,3420,3420,-1710,-1710,1,1,0.5688331089382067,0.5688331089382067,A,A
1711,1711,3422,3422,-1711,-1711,1,1,0.7663493430291268,0.7663493430291268,A,A
1712,1712,3424,3424,-1712,-1712,1,1,0.023856251850032928,0.023856251850032928,A,A
1713,1713,3426,3426,-1713,-1713,1,1,0.4517260923906399,0.4517260923906399,A,A
1715,1715,3430,3430,-1715,-1715,1,1,0.41350392073763265,0.41350392073763265,A,A
1716,1716,3432,3432,-1716,-1716,1,1,0.5310805115460789,0.5310805115460789,A,A
1718,1718,3436,3436,-1718,-1718,1,1,0.6905478011033693,0.6905478011033693,A,A
1719,1719,3438,3438,-1719,-1719,1,1,0.9638008592751904,0.9638008592751904,A,A
1720,1720,3440,3440,-1720,-1720,1,1,0.8993357845843626,0.8993357845843626,A,A
1721,1721,3442,3442,-1721,-1721,1,1,0.2213541750081336,0.2213541750081336,A,A
1722,1722,3444,3444,-1722,-1722,1,1,0.4698306152051547,0.4698306152051547,A,A
1726,1726,3452,3452,-1726,-1726,1,1,0.13211145554135761,0.13211145554135761,A,A
1727,1727,3454,3454,-1727,-1727,1,1,0.4241948748443497,0.4241948748443497,A,A
1728,1728,3456,3456,-1728,-1728,1,1,0.6831573293493708,0.6831573293493708,A,A
1730,1730,3460,3460,-1730,-1730,1,1,0.602950677519856,0.602950677519856,A,A
1732,1732,3464,3464,-1732,-1732,1,1,0.6802345597902167,0.6802345597902167,A,A
1733,1733,3466,3466,-1733,-1733,1,1,0.645549296926382,0.645549296926382,A,A
1734,1734,3468,3468,-1734,-1734,1,1,0.9856823932743453,0.9856823932743453,A,A
1736,1736,3472,3472,-1736,-1736,1,1,0.630988161384566,0.630988161384566,A,A
1738,1738,3476,3476,-1738,-1738,1,1,0.9128052250992914,0.9128052250992914,A,A
1739,1739,3478,3478,-1739,-1739,1,1,0.327518857256467,0.327518857256467,A,A
1740,1740,3480,3480,-1740,-1740,1,1,0.14595051425918848,0.14595051425918848,A,A
1742,1742,3484,3484,-1742,-1742,1,1,0.2944125893639117,0.2944125893639117,A,A
1743,1743,3486,3486,-1743,-1743,1,1,0.7321621705994261,0.7321621705994261,A,A
1746,1746,3492,3492,-1746,-1746,1,1,0.055177285145186605,0.055177285145186605,A,A
1747,1747,3494,3494,-1747,-1747,1,1,0.5904698848281087,0.5904698848281087,A,A
1748,1748,3496,3496,-1748,-1748,1,1,0.24056206132504032,0.24056206132504032,A,A
1750,1750,3500,3500,-1750,-1750,1,1,0.5692106735405412,0.5692106735405412,A,A
1751,1751,3502,3502,-1751,-1751,1,1,0.057652285341722065,0.057652285341722065,A,A
1752,1752,3504,3504,-1752,-1752,1,1,0.33228861503554585,0.33228861503554585,A,A
1753,1753,3506,3506,-1753,-1753,1,1,0.2550083618786513,0.2550083618786513,A,A
1754,1754,3508,3508,-1754,-1754,1,1,0.6611084903808346,0.6611084903808346,A,A
1755,1755,3510,3510,-1755,-1755,1,1,0.5666241136100454,0.5666241136100454,A,A
1756,1756,3512,3512,-1756,-1756,1,1,0.9051600459537045,0.9051600459537045,A,A
1758,1758,3516,3516,-1758,-1758,1,1,0.21053985418566923,0.21053985418566923,A,A
1760,1760,3520,3520,-1760,-1760,1,1,0.2930515875084606,0.2930515875084606,A,A
1764,1764,3528,3528,-1764,-1764,1,1,0.7336452738751119,0.7336452738751119,A,A
1765,1765,3530,3530,-1765,-1765,1,1,0.4546584465954976,0.4546584465954976,A,A
1766,1766,3532,3532,-1766,-1766,1,1,0.9855434331396827,0.9855434331396827,A,A
1768,1768,3536,3536,-1768,-1768,1,1,0.0722824290630456,0.0722824290630456,A,A
1769,1769,3538,3538,-1769,-1769,1,1,0.9269243198195444,0.9269243198195444,A,A
1770,1770,3540,3540,-1770,-1770,1,1,0.5433536653183896,0.5433536653183896,A,A
1771,1771,3542,3542,-1771,-1771,1,1,0.9229705237391328,0.9229705237391328,A,A
1772,1772,3544,3544,-1772,-1772,1,1,0.8727709742883908,0.8727709742883908,A,A
1774,1774,3548,3548,-1774,-1774,1,1,0.5316755466093728,0.5316755466093728,A,A
1776,1776,3552,3552,-1776,-1776,1,1,0.38742337630688684,0.38742337630688684,A,A
1777,1777,3554,3554,-1777,-1777,1,1,0.5057109052103254,0.5057109052103254,A,A
1778,1778,3556,3556,-1778,-1778,1,1,0.5364676566761873,0.5364676566761873,A,A
1779,1779,3558,3558,-1779,-1779,1,1,0.6732045015174335,0.6732045015174335,A,A
1780,1780,3560,3560,-1780,-1780,1,1,0.06590615116905663,0.06590615116905663,A,A
1781,1781,3562,3562,-1781,-1781,1,1,0.4254276922505288,0.4254276922505288,A,A
1782,1782,3564,3564,-1782,-1782,1,1,0.6637914523066742,0.6637914523066742,A,A
1783,1783,3566,3566,-1783,-1783,1,1,0.9550341436004985,0.9550341436004985,A,A
1785,1785,3570,3570,-1785,-1785,1,1,0.7542210657897184,0.7542210657897184,A,A
1786,1786,3572,3572,-1786,-1786,1,1,0.5269624387843885,0.5269624387843885,A,A
1788,1788,3576,3576,-1788,-1788,1,1,0.16123217000985024,0.16123217000985024,A,A
1789,1789,3578,3578,-1789,-1789,1,1,0.8668836412055324,0.8668836412055324,A,A
1791,1791,3582,3582,-1791,-1791,1,1,0.4946843826442069,0.4946843826442069,A,A
1792,1792,3584,3584,-1792,-1792,1,1,0.2201948018678438,0.2201948018678438,A,A
1793,1793,3586,3586,-1793,-1793,1,1,0.910413810989292,0.910413810989292,A,A
1795,1795,3590,3590,-1795,-1795,1,1,0.20825632823401374,0.20825632823401374,A,A
1798,1798,3596,3596,-1798,-1798,1,1,0.9067238404916425,0.9067238404916425,A,A
1799,1799,3598,3598,-1799,-1799,1,1,0.9531142772377286,0.9531142772377286,A,A
1800,1800,3600,3600,-1800,-1800,1,1,0.07848752472093012,0.07848752472093012,A,A
1801,1801,3602,3602,-1801,-1801,1,1,0.9926132617110691,0.9926132617110691,A,A
1802,1802,3604,3604,-1802,-1802,1,1,0.9544134615396381,0.9544134615396381,A,A
1803,1803,3606,3606,-1803,-1803,1,1,0.6477974391190868,0.6477974391190868,A,A
1804,1804,3608,3608,-1804,-1804,1,1,0.4716800333435003,0.4716800333435003,A,A
1805,1805,3610,3610,-1805,-1805,1,1,0.18513987923672703,0.18513987923672703,A,A
1810,1810,3620,3620,-1810,-1810,1,1,0.6614716152547626,0.6614716152547626,A,A
1811,1811,3622,3622,-1811,-1811,1,1,0.3131360646579948,0.3131360646579948,A,A
1812,1812,3624,3624,-1812,-1812,1,1,0.538455266238793,0.538455266238793,A,A
1814,1814,3628,3628,-1814,-1814,1,1,0.9654090664369791,0.9654090664369791,A,A
1815,1815,3630,3630,-1815,-1815,1,1,0.9692932650515171,0.9692932650515171,A,A
1816,1816,3632,3632,-1816,-1816,1,1,0.3066175248469335,0.3066175248469335,A,A
1820,1820,3640,3640,-1820,-1820,1,1,0.39919199304329944,0.39919199304329944,A,A
1822,1822,3644,3644,-1822,-1822,1,1,0.988816934533461,0.988816934533461,A,A
1823,1823,3646,3646,-1823,-1823,1,1,0.03516897247142614,0.03516897247142614,A,A
1824,1824,3648,3648,-1824,-1824,1,1,0.9162562729411368,0.9162562729411368,A,A
1825,1825,3650,3650,-1825,-1825,1,1,0.6117294106382596,0.6117294106382596,A,A
1828,1828,3656,3656,-1828,-1828,1,1,0.9718883183568378,0.9718883183568378,A,A
1829,1829,3658,3658,-1829,-1829,1,1,0.2826245348823605,0.2826245348823605,A,A
1831,1831,3662,3662,-1831,-1831,1,1,0.11748296826463478,0.11748296826463478,A,A
1833,1833,3666,3666,-1833,-1833,1,1,0.7987924940437099,0.7987924940437099,A,A
1834,1834,3668,3668,-1834,-1834,1,1,0.4748755221055446,0.4748755221055446,A,A
1836,1836,3672,3672,-1836,-1836,1,1,0.43053196351209244,0.43053196351209244,A,A
1839,1839,3678,3678,-1839,-1839,1,1,0.6741307886742445,0.6741307886742445,A,A
1841,1841,3682,3682,-1841,-1841,1,1,0.6725217525634334,0.6725217525634334,A,A
1842,1842,3684,3684,-1842,-1842,1,1,0.38174418886816075,0.38174418886816075,A,A
1843,1843,3686,3686,-1843,-1843,1,1,0.7725621804404321,0.7725621804404321,A,A
1845,1845,3690,3690,-1845,-1845,1,1,0.9513435339735716,0.9513435339735716,A,A
1847,1847,3694,3694,-1847,-1847,1,1,0.2526040062536443,0.2526040062536443,A,A
1848,1848,3696,3696,-1848,-1848,1,1,0.4684785718329494,0.4684785718329494,A,A
1850,1850,3700,3700,-1850,-1850,1,1,0.09814072365684245,0.09814072365684245,A,A
1851,1851,3702,3702,-1851,-1851,1,1,0.37802729985015926,0.37802729985015926,A,A
1853,1853,3706,3706,-1853,-1853,1,1,0.9330985806791643,0.9330985806791643,A,A
1858,1858,3716,3716,-1858,-1858,1,1,0.8120131111426999,0.8120131111426999,A,A
1860,1860,3720,3720,-1860,-1860,1,1,0.9128613465312353,0.9128613465312353,A,A
1862,1862,3724,3724,-1862,-1862,1,1,0.12199034714213353,0.12199034714213353,A,A
1863,1863,3726,3726,-1863,-1863,1,1,0.9560695370131472,0.9560695370131472,A,A
1864,1864,3728,3728,-1864,-1864,1,1,0.06016438947443925,0.06016438947443925,A,A
1865,1865,3730,3730,-1865,-1865,1,1,0.6647222760234254,0.6647222760234254,A,A
1867,1867,3734,3734,-1867,-1867,1,1,0.5471430246929814,0.5471430246929814,A,A
1869,1869,3738,3738,-1869,-1869,1,1,0.09104335891696957,0.09104335891696957,A,A
1871,1871,3742,3742,-1871,-1871,1,1,0.5943417939759144,0.5943417939759144,A,A
1873,1873,3746,3746,-1873,-1873,1,1,0.09349937952598242,0.09349937952598242,A,A
1874,1874,3748,3748,-1874,-1874,1,1,0.180761356258898,0.180761356258898,A,A
1875,1875,3750,3750,-1875,-1875,1,1,0.6932795576787727,0.6932795576787727,A,A
1876,1876,3752,3752,-1876,-1876,1,1,0.38820244889665334,0.38820244889665334,A,A
1878,1878,3756,3756,-1878,-1878,1,1,0.9112009952648356,0.9112009952648356,A,A
1880,1880,3760,3760,-1880,-1880,1,1,0.5677667994580042,0.5677667994580042,A,A
1882,1882,3764,3764,-1882,-1882,1,1,0.503584793668734,0.503584793668734,A,A
1883,1883,3766,3766,-1883,-1883,1,1,0.8408138246091176,0.8408138246091176,A,A
1885,1885,3770,3770,-1885,-1885,1,1,0.9539635999909925,0.9539635999909925,A,A
1886,1886,3772,3772,-1886,-1886,1,1,0.679885734760249,0.679885734760249,A,A
1887,1887,3774,3774,-1887,-1887,1,1,0.44367321643274404,0.44367321643274404,A,A
1890,1890,3780,3780,-1890,-1890,1,1,0.1948684021450814,0.1948684021450814,A,A
1891,1891,3782,3782,-1891,-1891,1,1,0.33214473194733085,0.33214473194733085,A,A
1892,1892,3784,3784,-1892,-1892,1,1,0.40857562751710885,0.40857562751710885,A,A
1894,1894,3788,3788,-1894,-1894,1,1,0.7601349005866322,0.7601349005866322,A,A
1895,1895,3790,3790,-1895,-1895,1,1,0.8169395778127655,0.8169395778127655,A,A
1896,1896,3792,3792,-1896,-1896,1,1,0.04084684579358411,0.04084684579358411,A,A
1901,1901,3802,3802,-1901,-1901,1,1,0.5377018842009144,0.5377018842009144,A,A
1902,1902,3804,3804,-1902,-1902,1,1,0.17407294504427884,0.17407294504427884,A,A
1906,1906,3812,3812,-1906,-1906,1,1,0.276225127454683,0.276225127454683,A,A
1907,1907,3814,3814,-1907,-1907,1,1,0.5087677992102988,0.5087677992102988,A,A
1908,1908,3816,3816,-1908,-1908,1,1,0.2543623600354489,0.2543623600354489,A,A
1910,1910,3820,3820,-1910,-1910,1,1,0.11115286073891939,0.11115286073891939,A,A
1912,1912,3824,3824,-1912,-1912,1,1,0.9298882355254885,0.9298882355254885,A,A
1914,1914,3828,3828,-1914,-1914,1,1,0.5807153737851637,0.5807153737851637,A,A
1915,1915,3830,3830,-1915,-1915,1,1,0.8415975861349929,0.8415975861349929,A,A
1916,1916,3832,3832,-1916,-1916,1,1,0.9314841115947514,0.9314841115947514,A,A
1919,1919,3838,3838,-1919,-1919,1,1,0.15147958824928232,0.15147958824928232,A,A
1921,1921,3842,3842,-1921,-1921,1,1,0.9715069034774207,0.9715069034774207,A,A
1923,1923,3846,3846,-1923,-1923,1,1,0.8955215340748105,0.8955215340748105,A,A
1924,1924,3848,3848,-1924,-1924,1,1,0.19621820521202626,0.19621820521202626,A,A
1925,1925,3850,3850,-1925,-1925,1,1,0.6022981086338753,0.6022981086338753,A,A
1926,1926,3852,3852,-1926,-1926,1,1,0.49244797829934006,0.49244797829934006,A,A
1927,1927,3854,3854,-1927,-1927,1,1,0.7077726274397098,0.7077726274397098,A,A
1928,1928,3856,3856,-1928,-1928,1,1,0.9787243636558854,0.9787243636558854,A,A
1929,1929,3858,3858,-1929,-1929,1,1,0.8614386764224766,0.8614386764224766,A,A
1930,1930,3860,3860,-1930,-1930,1,1,0.18673138462854455,0.18673138462854455,A,A
1932,1932,3864,3864,-1932,-1932,1,1,0.38189953828092027,0.38189953828092027,A,A
1933,1933,3866,3866,-1933,-1933,1,1,0.3923354169771175,0.3923354169771175,A,A
1934,1934,3868,3868,-1934,-1934,1,1,0.19465534881112867,0.19465534881112867,A,A
1935,1935,3870,3870,-1935,-1935,1,1,0.5812565030687853,0.5812565030687853,A,A
1936,1936,3872,3872,-1936,-1936,1,1,0.7149354557179358,0.7149354557179358,A,A
1938,1938,3876,3876,-1938,-1938,1,1,0.6300226260674405,0.6300226260674405,A,A
1941,1941,3882,3882,-1941,-1941,1,1,0.12256764555366051,0.12256764555366051,A,A
1942,1942,3884,3884,-1942,-1942,1,1,0.19425593120928453,0.19425593120928453,A,A
1943,1943,3886,3886,-1943,-1943,1,1,0.28267001036749506,0.28267001036749506,A,A
1944,1944,3888,3888,-1944,-1944,1,1,0.8278236061718143,0.8278236061718143,A,A
1946,1946,3892,3892,-1946,-1946,1,1,0.6944511321718986,0.6944511321718986,A,A
1947,1947,3894,3894,-1947,-1947,1,1,0.2934834344827334,0.2934834344827334,A,A
1949,1949,3898,3898,-1949,-1949,1,1,0.41681259077826593,0.41681259077826593,A,A
1950,1950,3900,3900,-1950,-1950,1,1,0.23864417048565623,0.23864417048565623,A,A
1954,1954,3908,3908,-1954,-1954,1,1,0.07522454865778105,0.07522454865778105,A,A
1955,1955,3910,3910,-1955,-1955,1,1,0.613523487687339,0.613523487687339,A,A
1956,1956,3912,3912,-1956,-1956,1,1,0.021486747329841904,0.021486747329841904,A,A
1958,1958,3916,3916,-1958,-1958,1,1,0.7714179930238514,0.7714179930238514,A,A
1959,1959,3918,3918,-1959,-1959,1,1,0.3402273098625448,0.3402273098625448,A,A
1960,1960,3920,3920,-1960,-1960,1,1,0.7529346548230224,0.7529346548230224,A,A
1962,1962,3924,3924,-1962,-1962,1,1,0.2520345186660663,0.2520345186660663,A,A
1963,1963,3926,3926,-1963,-1963,1,1,0.5869780402732033,0.5869780402732033,A,A
1964,1964,3928,3928,-1964,-1964,1,1,0.1988188226361156,0.1988188226361156,A,A
1969,1969,3938,3938,-1969,-1969,1,1,0.9723207603274087,0.9723207603274087,A,A
1971,1971,3942,3942,-1971,-1971,1,1,0.7951506706191053,0.7951506706191053,A,A
1972,1972,3944,3944,-1972,-1972,1,1,0.30491119929029387,0.30491119929029387,A,A
1973,1973,3946,3946,-1973,-1973,1,1,0.8974411071749718,0.8974411071749718,A,A
1975,1975,3950,3950,-1975,-1975,1,1,0.5285132247499348,0.5285132247499348,A,A
1976,1976,3952,3952,-1976,-1976,1,1,0.583547561838019,0.583547561838019,A,A
1977,1977,3954,3954,-1977,-1977,1,1,0.15112398703053753,0.15112398703053753,A,A
1978,1978,3956,3956,-1978,-1978,1,1,0.8946901087318754,0.8946901087318754,A,A
1983,1983,3966,3966,-1983,-1983,1,1,0.49077757760834395,0.49077757760834395,A,A
1986,1986,3972,3972,-1986,-1986,1,1,0.5963435592281614,0.5963435592281614,A,A
1987,1987,3974,3974,-1987,-1987,1,1,0.31639543157027383,0.31639543157027383,A,A
1989,1989,3978,3978,-1989,-1989,1,1,0.5124821693648663,0.5124821693648663,A,A
1990,1990,3980,3980,-1990,-1990,1,1,0.37296695447714134,0.37296695447714134,A,A
1993,1993,3986,3986,-1993,-1993,1,1,0.9558104774901678,0.9558104774901678,A,A
1994,1994,3988,3988,-1994,-1994,1,1,0.2696082176213761,0.2696082176213761,A,A
1995,1995,3990,3990,-1995,-1995,1,1,0.9093757611049985,0.9093757611049985,A,A
1996,1996,3992,3992,-1996,-1996,1,1,0.2122799682469355,0.2122799682469355,A,A
1997,1997,3994,3994,-1997,-1997,1,1,0.32877858474063326,0.32877858474063326,A,A
1998,1998,3996,3996,-1998,-1998,1,1,0.6224260904673257,0.6224260904673257,A,A
2000,2000,4000,4000,-2000,-2000,1,1,0.6920760465129538,0.6920760465129538,A,A
2003,2003,4006,4006,-2003,-2003,1,1,0.9020293304868983,0.9020293304868983,A,A
2005,2005,4010,4010,-2005,-2005,1,1,0.15497105459825233,0.15497105459825233,A,A
2008,2008,4016,4016,-2008,-2008,1,1,0.511636053573436,0.511636053573436,A,A
2009,2009,4018,4018,-2009,-2009,1,1,0.03908449915822154,0.03908449915822154,A,A
2010,2010,4020,4020,-2010,-2010,1,1,0.6174502231884595,0.6174502231884595,A,A
2011,2011,4022,4022,-2011,-2011,1,1,0.02969049098499632,0.02969049098499632,A,A
2012,2012,4024,4024,-2012,-2012,1,1,0.392666982827082,0.392666982827082,A,A
2014,2014,4028,4028,-2014,-2014,1,1,0.5201462226324929,0.5201462226324929,A,A
