age,age_noeducation,workclass,workclass_noeducation,fnlwgt,fnlwgt_noeducation,education,education_noeducation,education_num,education_num_noeducation,marital_status,marital_status_noeducation,occupation,occupation_noeducation,relationship,relationship_noeducation,race,race_noeducation,sex,sex_noeducation,capital_gain,capital_gain_noeducation,capital_loss,capital_loss_noeducation,hours_per_week,hours_per_week_noeducation,native_country,native_country_noeducation,income_per_year,income_per_year_noeducation
36,17,Self-emp-not-inc,Private,165855,340110,Bachelors,HS-grad,13,8,Married-civ-spouse,Never-married,Sales,Sales,Husband,Own-child,White,White,Male,Male,0,1173,0,1411,40,35,Germany,United-States,<=50K,<=50K
34,26,Private,Private,27565,297906,Assoc-voc,HS-grad,11,8,Married-civ-spouse,Married-civ-spouse,Craft-repair,?,Wife,Not-in-family,Amer-Indian-Eskimo,White,Female,Male,0,1173,0,2179,27,45,United-States,United-States,>50K,<=50K
54,51,Private,Private,220115,164966,HS-grad,HS-grad,9,8,Married-civ-spouse,Never-married,Craft-repair,Other-service,Husband,Not-in-family,White,White,Male,Female,0,1173,1628,1411,40,53,United-States,United-States,<=50K,>50K
34,20,Private,Private,113751,84673,11th,HS-grad,7,8,Divorced,Married-civ-spouse,Sales,?,Own-child,Own-child,Black,White,Female,Female,0,1173,0,1411,37,35,United-States,United-States,<=50K,<=50K
72,19,Private,Private,128793,53158,5th-6th,HS-grad,3,8,Married-civ-spouse,Never-married,Other-service,?,Husband,Own-child,Black,White,Male,Female,0,1173,0,1411,36,30,United-States,United-States,<=50K,<=50K
23,34,Private,Private,97472,572751,HS-grad,HS-grad,9,8,Married-civ-spouse,Divorced,Craft-repair,Machine-op-inspct,Husband,Not-in-family,White,White,Male,Male,0,1173,0,1411,40,27,United-States,United-States,<=50K,<=50K
53,31,Private,State-gov,153064,117849,5th-6th,HS-grad,3,8,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Farming-fishing,Husband,Not-in-family,White,Black,Male,Female,7688,1173,0,1411,10,35,Yugoslavia,United-States,>50K,<=50K
57,20,Private,Private,190488,137862,11th,HS-grad,7,8,Married-civ-spouse,Never-married,Craft-repair,Machine-op-inspct,Husband,Own-child,White,Amer-Indian-Eskimo,Male,Male,0,1173,0,1411,40,35,United-States,United-States,>50K,<=50K
22,67,Local-gov,Private,326283,141824,Some-college,HS-grad,10,8,Never-married,Never-married,Exec-managerial,Other-service,Own-child,Husband,Asian-Pac-Islander,White,Male,Female,0,1173,0,1411,20,23,United-States,United-States,<=50K,<=50K
40,54,Private,Private,61287,348059,Some-college,HS-grad,10,8,Married-civ-spouse,Married-civ-spouse,Tech-support,Prof-specialty,Husband,Own-child,White,White,Male,Male,0,1173,0,1411,40,38,United-States,United-States,<=50K,>50K
31,53,Private,Private,214288,183146,Some-college,HS-grad,10,8,Married-civ-spouse,Married-civ-spouse,Craft-repair,Handlers-cleaners,Husband,Husband,White,White,Male,Male,0,2414,0,1411,40,45,United-States,United-States,<=50K,<=50K
18,34,Private,Private,198856,149347,Some-college,HS-grad,10,8,Never-married,Married-civ-spouse,Other-service,Machine-op-inspct,Own-child,Husband,White,White,Female,Male,0,1173,0,1411,32,38,United-States,United-States,<=50K,<=50K
51,47,Federal-gov,Private,914061,39432,Some-college,HS-grad,10,8,Married-civ-spouse,Married-civ-spouse,Adm-clerical,Adm-clerical,Husband,Husband,White,White,Male,Male,0,1173,0,1411,44,35,United-States,United-States,>50K,>50K
24,42,Private,Local-gov,186648,247337,Assoc-acdm,HS-grad,12,8,Never-married,Married-civ-spouse,Sales,Other-service,Own-child,Wife,White,White,Male,Female,0,1173,0,1411,25,42,United-States,United-States,<=50K,<=50K
49,44,Private,Private,350759,330416,Bachelors,HS-grad,13,8,Married-civ-spouse,Never-married,Sales,Adm-clerical,Husband,Not-in-family,White,White,Male,Male,0,3908,0,1411,60,35,United-States,United-States,>50K,<=50K
76,26,?,Private,197988,399008,5th-6th,HS-grad,3,8,Married-civ-spouse,Never-married,?,Other-service,Husband,Other-relative,White,White,Male,Male,0,1173,0,1411,8,35,United-States,United-States,<=50K,<=50K
37,51,Private,Private,188571,39432,HS-grad,HS-grad,9,8,Married-civ-spouse,Married-civ-spouse,Transport-moving,Machine-op-inspct,Husband,Husband,White,White,Male,Male,0,1173,0,1411,40,45,United-States,United-States,<=50K,<=50K
29,35,Private,Local-gov,112776,319422,HS-grad,HS-grad,9,8,Divorced,Divorced,Exec-managerial,Handlers-cleaners,Unmarried,Unmarried,White,White,Female,Male,0,1173,0,1411,45,57,United-States,United-States,<=50K,<=50K
21,32,Private,Private,100345,91608,HS-grad,HS-grad,9,8,Never-married,Never-married,Craft-repair,Transport-moving,Own-child,Husband,White,Asian-Pac-Islander,Male,Male,0,1173,0,1411,53,35,United-States,Philippines,<=50K,<=50K
49,48,Private,Private,291783,180096,Bachelors,HS-grad,13,8,Married-civ-spouse,Never-married,Sales,Farming-fishing,Husband,Not-in-family,White,White,Male,Male,0,1173,0,1411,40,35,United-States,United-States,<=50K,<=50K
69,41,?,Private,156387,330416,HS-grad,HS-grad,9,8,Married-civ-spouse,Divorced,?,Exec-managerial,Husband,Unmarried,White,White,Male,Male,0,1173,0,2179,40,45,United-States,United-States,<=50K,>50K
38,36,?,Private,295166,162381,HS-grad,HS-grad,9,8,Married-civ-spouse,Married-civ-spouse,?,Craft-repair,Husband,Husband,Black,White,Male,Male,0,1173,0,1411,40,42,United-States,United-States,<=50K,>50K
44,57,Private,Self-emp-not-inc,132849,46322,Masters,HS-grad,14,8,Never-married,Married-civ-spouse,Craft-repair,Farming-fishing,Unmarried,Husband,Black,White,Female,Male,0,1173,0,1411,40,27,United-States,United-States,<=50K,<=50K
31,23,Private,Private,300497,129059,Some-college,HS-grad,10,8,Divorced,Never-married,Exec-managerial,Other-service,Unmarried,Husband,Black,White,Male,Female,0,1173,0,1411,40,35,United-States,United-States,<=50K,<=50K
54,34,Private,Private,338089,133420,Masters,HS-grad,14,8,Separated,Never-married,Exec-managerial,Other-service,Not-in-family,Not-in-family,White,White,Male,Male,0,1173,0,1411,40,35,United-States,United-States,<=50K,<=50K
26,34,Private,Self-emp-not-inc,104257,330416,HS-grad,HS-grad,9,8,Never-married,Married-civ-spouse,Other-service,Adm-clerical,Not-in-family,Husband,White,White,Female,Male,0,1173,0,1411,50,45,United-States,United-States,<=50K,<=50K
40,61,Private,?,112247,177824,Bachelors,HS-grad,13,8,Never-married,Married-civ-spouse,Exec-managerial,?,Not-in-family,Husband,White,White,Female,Male,0,1173,0,2179,50,38,United-States,United-States,<=50K,>50K
41,64,Federal-gov,Private,73070,164966,Masters,HS-grad,14,8,Never-married,Widowed,Prof-specialty,Adm-clerical,Other-relative,Not-in-family,White,White,Female,Female,0,1173,0,2179,40,27,United-States,United-States,<=50K,<=50K
48,29,Self-emp-inc,Private,49298,117849,Doctorate,HS-grad,16,8,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Machine-op-inspct,Husband,Husband,White,White,Male,Male,0,1173,1902,1411,50,68,United-States,United-States,>50K,<=50K
51,22,Local-gov,Self-emp-not-inc,289390,265917,Masters,HS-grad,14,8,Married-civ-spouse,Never-married,Prof-specialty,Sales,Husband,Not-in-family,White,White,Male,Male,7298,1173,0,1411,40,38,United-States,United-States,>50K,<=50K
36,62,Private,Private,219546,74194,Some-college,HS-grad,10,8,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Exec-managerial,Husband,Husband,White,White,Male,Male,0,1173,0,1411,60,42,United-States,United-States,>50K,<=50K
35,34,Private,Private,194490,159021,HS-grad,HS-grad,9,8,Never-married,Married-civ-spouse,Craft-repair,Machine-op-inspct,Not-in-family,Husband,White,White,Female,Male,0,1173,0,1411,40,35,United-States,United-States,<=50K,>50K
32,51,Private,Self-emp-inc,358655,125089,Masters,HS-grad,14,8,Divorced,Married-civ-spouse,Sales,Transport-moving,Not-in-family,Not-in-family,White,White,Female,Male,0,1173,0,2179,50,30,United-States,United-States,>50K,>50K
39,20,Private,?,286026,282944,Bachelors,HS-grad,13,8,Married-civ-spouse,Never-married,Craft-repair,?,Husband,Own-child,White,White,Male,Male,0,1173,0,1411,52,30,United-States,United-States,<=50K,<=50K
55,39,Private,Private,401473,152182,Masters,HS-grad,14,8,Widowed,Never-married,Exec-managerial,?,Not-in-family,Own-child,White,White,Female,Female,0,1173,0,1411,40,35,United-States,United-States,>50K,<=50K
26,35,Private,Self-emp-not-inc,197967,297906,HS-grad,HS-grad,9,8,Never-married,Married-civ-spouse,Craft-repair,Farming-fishing,Own-child,Husband,White,White,Male,Male,0,1173,0,1411,40,68,United-States,United-States,<=50K,<=50K
46,57,Local-gov,Private,216647,241895,10th,HS-grad,6,8,Divorced,Married-civ-spouse,Protective-serv,Exec-managerial,Unmarried,Husband,White,White,Female,Male,0,5455,0,1411,20,35,United-States,United-States,<=50K,>50K
70,58,Self-emp-not-inc,Self-emp-not-inc,355536,247337,HS-grad,HS-grad,9,8,Married-civ-spouse,Married-civ-spouse,Tech-support,Craft-repair,Wife,Husband,White,White,Female,Male,0,1173,0,1411,24,42,United-States,United-States,<=50K,>50K
20,29,Private,Private,193130,399008,Some-college,HS-grad,10,8,Never-married,Married-civ-spouse,Adm-clerical,Sales,Own-child,Husband,White,Black,Female,Male,0,1173,0,1411,30,30,United-States,China,<=50K,<=50K
46,39,Self-emp-inc,Private,67725,297906,Bachelors,HS-grad,13,8,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Sales,Husband,Husband,White,White,Male,Male,0,1173,0,1411,10,45,United-States,United-States,<=50K,>50K
35,23,Private,Private,209629,46322,HS-grad,HS-grad,9,8,Divorced,Married-civ-spouse,Exec-managerial,Tech-support,Not-in-family,Not-in-family,White,White,Male,Male,0,1173,0,1411,40,38,United-States,United-States,<=50K,<=50K
20,42,Private,Local-gov,143964,205019,HS-grad,HS-grad,9,8,Never-married,Never-married,Other-service,Other-service,Own-child,Unmarried,Black,Black,Female,Female,0,1173,0,1411,40,35,United-States,United-States,<=50K,<=50K
57,29,Self-emp-inc,Private,249072,159021,Some-college,HS-grad,10,8,Married-civ-spouse,Never-married,Exec-managerial,Adm-clerical,Husband,Not-in-family,White,White,Male,Male,99999,1173,0,1411,60,27,United-States,United-States,>50K,<=50K
64,38,?,?,285742,265917,10th,HS-grad,6,8,Married-civ-spouse,Never-married,?,Other-service,Husband,Not-in-family,White,Black,Male,Male,0,1173,0,1411,50,35,United-States,United-States,>50K,<=50K
63,20,Self-emp-not-inc,Private,130221,102388,Masters,HS-grad,14,8,Married-civ-spouse,Never-married,Sales,Other-service,Husband,Own-child,White,White,Male,Female,0,1173,0,1411,60,23,United-States,United-States,>50K,<=50K
21,31,Federal-gov,Self-emp-inc,201815,111700,Some-college,HS-grad,10,8,Never-married,Married-civ-spouse,Adm-clerical,Craft-repair,Own-child,Husband,Black,White,Female,Male,0,1173,0,1411,30,35,United-States,United-States,<=50K,<=50K
43,31,Local-gov,Self-emp-not-inc,67243,170430,Bachelors,HS-grad,13,8,Married-civ-spouse,Married-civ-spouse,Protective-serv,?,Husband,Husband,White,White,Male,Male,0,1173,0,1411,45,35,United-States,United-States,>50K,<=50K
35,62,Private,Private,202263,340110,Assoc-acdm,HS-grad,12,8,Never-married,Married-civ-spouse,Exec-managerial,?,Not-in-family,Husband,White,Black,Male,Male,0,1173,0,1411,38,20,United-States,United-States,<=50K,<=50K
21,53,Private,Local-gov,122048,137862,Some-college,HS-grad,10,8,Never-married,Married-civ-spouse,Adm-clerical,Adm-clerical,Own-child,Unmarried,White,White,Female,Female,0,1173,0,1411,29,35,United-States,United-States,<=50K,<=50K
23,22,Private,Private,231866,67187,HS-grad,HS-grad,9,8,Never-married,Never-married,Handlers-cleaners,Craft-repair,Own-child,Other-relative,White,White,Male,Male,0,1173,0,1411,38,38,United-States,United-States,<=50K,<=50K
35,19,Private,Private,211440,170430,Assoc-acdm,HS-grad,12,8,Married-civ-spouse,Never-married,Prof-specialty,Sales,Husband,Own-child,White,White,Male,Male,0,1173,0,1411,45,2,United-States,United-States,<=50K,<=50K
28,31,Private,Private,25955,102388,Assoc-voc,HS-grad,11,8,Never-married,Married-civ-spouse,Prof-specialty,Other-service,Unmarried,Husband,Amer-Indian-Eskimo,Amer-Indian-Eskimo,Male,Male,0,1173,0,1411,40,35,United-States,United-States,<=50K,<=50K
61,35,?,Private,274499,34845,HS-grad,HS-grad,9,8,Married-civ-spouse,Married-civ-spouse,?,Handlers-cleaners,Husband,Husband,Black,White,Male,Male,0,1173,0,1411,40,38,United-States,United-States,<=50K,<=50K
45,28,Self-emp-not-inc,Private,305474,34845,10th,HS-grad,6,8,Married-civ-spouse,Divorced,Craft-repair,Other-service,Husband,Not-in-family,Black,White,Male,Female,0,1173,0,1411,40,23,Haiti,United-States,<=50K,<=50K
73,28,Local-gov,Local-gov,222702,253856,10th,HS-grad,6,8,Married-civ-spouse,Never-married,Farming-fishing,Handlers-cleaners,Husband,Not-in-family,White,Black,Male,Male,0,1173,0,1411,5,35,United-States,United-States,<=50K,<=50K
33,25,State-gov,Private,120460,340110,HS-grad,HS-grad,9,8,Married-civ-spouse,Married-civ-spouse,Craft-repair,Other-service,Husband,Wife,White,White,Male,Female,0,1173,0,1411,40,27,United-States,United-States,<=50K,<=50K
25,42,Private,Private,31657,84673,Assoc-voc,HS-grad,11,8,Separated,Divorced,Other-service,Transport-moving,Not-in-family,Other-relative,White,White,Female,Female,0,1173,0,1411,34,38,United-States,United-States,<=50K,<=50K
19,34,Private,Private,327079,180096,Some-college,HS-grad,10,8,Never-married,Never-married,Adm-clerical,Other-service,Own-child,Husband,White,White,Female,Female,0,1173,0,1411,40,30,United-States,United-States,<=50K,<=50K
42,20,Private,Private,234633,172716,11th,HS-grad,7,8,Married-civ-spouse,Never-married,Transport-moving,Sales,Husband,Not-in-family,White,Other,Male,Male,0,1173,0,1411,47,45,United-States,United-States,<=50K,<=50K
27,23,Private,Self-emp-not-inc,203776,172716,Bachelors,HS-grad,13,8,Married-civ-spouse,Married-civ-spouse,Sales,Adm-clerical,Husband,Wife,White,White,Male,Female,7688,1173,0,1411,45,35,United-States,United-States,>50K,<=50K
24,45,Self-emp-inc,Private,242138,208049,Bachelors,HS-grad,13,8,Never-married,Married-civ-spouse,Sales,?,Own-child,Unmarried,White,White,Female,Female,0,1173,0,1411,20,30,United-States,United-States,<=50K,<=50K
19,35,Private,Private,276937,290661,Some-college,HS-grad,10,8,Never-married,Married-civ-spouse,Sales,Machine-op-inspct,Own-child,Not-in-family,White,White,Female,Female,0,1173,0,1411,25,35,United-States,United-States,<=50K,<=50K
36,57,Private,Self-emp-not-inc,117528,222813,HS-grad,HS-grad,9,8,Separated,Married-civ-spouse,Adm-clerical,?,Unmarried,Husband,White,White,Female,Male,0,1173,0,1411,38,35,United-States,United-States,<=50K,<=50K
41,38,Self-emp-not-inc,Private,171351,102388,HS-grad,HS-grad,9,8,Married-civ-spouse,Married-civ-spouse,Craft-repair,Craft-repair,Husband,Husband,White,White,Male,Male,0,1173,0,1411,50,35,United-States,United-States,>50K,<=50K
43,29,Private,Local-gov,138471,180096,Some-college,HS-grad,10,8,Never-married,Separated,Adm-clerical,Adm-clerical,Not-in-family,Unmarried,White,White,Male,Male,0,1173,0,1411,40,35,United-States,United-States,<=50K,<=50K
40,29,Local-gov,Self-emp-not-inc,329341,137862,Masters,HS-grad,14,8,Married-civ-spouse,Never-married,Exec-managerial,Craft-repair,Husband,Own-child,White,White,Male,Male,0,1173,0,1411,35,20,United-States,United-States,>50K,<=50K
57,36,Private,Private,62539,34845,HS-grad,HS-grad,9,8,Divorced,Married-civ-spouse,Adm-clerical,Craft-repair,Unmarried,Husband,White,White,Female,Male,0,3908,1876,1411,38,38,United-States,United-States,<=50K,>50K
58,25,Private,Self-emp-not-inc,265579,282944,HS-grad,HS-grad,9,8,Divorced,Never-married,Adm-clerical,Craft-repair,Not-in-family,Not-in-family,White,White,Female,Male,0,1173,0,1411,40,38,United-States,United-States,<=50K,<=50K
22,60,Private,Private,218215,319422,Some-college,HS-grad,10,8,Never-married,Married-civ-spouse,Adm-clerical,Exec-managerial,Own-child,Husband,White,White,Female,Male,0,13550,0,1411,35,38,United-States,United-States,<=50K,>50K
39,45,Federal-gov,Private,116369,183146,Some-college,HS-grad,10,8,Married-civ-spouse,Divorced,Adm-clerical,Protective-serv,Husband,Not-in-family,White,Black,Male,Male,0,1173,0,1411,48,38,United-States,United-States,<=50K,<=50K
24,65,Private,?,403107,185195,Preschool,HS-grad,1,8,Never-married,Married-civ-spouse,Adm-clerical,?,Not-in-family,Husband,White,White,Male,Male,0,1173,0,1411,40,6,Mexico,United-States,<=50K,<=50K
29,38,State-gov,Private,103389,125089,Prof-school,HS-grad,15,8,Never-married,Married-civ-spouse,Prof-specialty,Sales,Not-in-family,Husband,White,White,Female,Male,4787,3908,0,1411,40,35,United-States,United-States,>50K,>50K
26,45,State-gov,Private,624006,79627,HS-grad,HS-grad,9,8,Married-civ-spouse,Divorced,Other-service,Machine-op-inspct,Husband,Not-in-family,White,White,Male,Female,0,1173,0,1411,40,45,United-States,United-States,<=50K,<=50K
27,44,Private,Private,344094,58972,HS-grad,HS-grad,9,8,Never-married,Married-civ-spouse,Craft-repair,Sales,Own-child,Other-relative,White,White,Male,Female,0,1173,0,1411,40,35,United-States,United-States,<=50K,<=50K
67,39,Self-emp-inc,Private,147377,193490,HS-grad,HS-grad,9,8,Married-civ-spouse,Divorced,Exec-managerial,Sales,Husband,Other-relative,White,White,Male,Male,0,1173,0,1411,45,38,United-States,United-States,<=50K,<=50K
49,38,Private,Self-emp-not-inc,90579,236379,HS-grad,HS-grad,9,8,Married-civ-spouse,Married-civ-spouse,Craft-repair,Sales,Husband,Wife,Black,Black,Male,Female,5013,1173,0,1411,50,45,United-States,Dominican-Republic,<=50K,>50K
47,48,Private,?,91972,25610,HS-grad,HS-grad,9,8,Married-civ-spouse,Never-married,Priv-house-serv,Other-service,Wife,Own-child,White,White,Female,Male,0,1173,0,1411,35,42,United-States,United-States,>50K,>50K
59,22,Self-emp-not-inc,Private,275236,319422,11th,HS-grad,7,8,Married-civ-spouse,Never-married,Sales,Machine-op-inspct,Husband,Not-in-family,White,White,Male,Female,0,1173,0,1411,70,38,United-States,United-States,>50K,<=50K
23,29,Private,Private,340432,460356,HS-grad,HS-grad,9,8,Never-married,Married-civ-spouse,Craft-repair,Handlers-cleaners,Not-in-family,Other-relative,White,White,Male,Female,0,1173,0,1411,40,38,United-States,Canada,<=50K,>50K
35,36,Private,Private,158592,330416,Assoc-voc,HS-grad,11,8,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Transport-moving,Husband,Husband,White,White,Male,Male,3103,1173,0,2179,50,57,United-States,United-States,>50K,>50K
48,28,Private,Self-emp-not-inc,278303,121596,HS-grad,HS-grad,9,8,Married-civ-spouse,Married-civ-spouse,Craft-repair,Craft-repair,Husband,Husband,White,White,Male,Male,0,1173,0,1411,55,35,United-States,United-States,<=50K,<=50K
33,23,Self-emp-not-inc,Private,300681,348059,10th,HS-grad,6,8,Married-civ-spouse,Never-married,Transport-moving,Transport-moving,Husband,Husband,Black,White,Male,Female,0,1173,0,1411,50,42,?,United-States,<=50K,<=50K
37,19,Private,?,160192,231822,Assoc-acdm,HS-grad,12,8,Never-married,Never-married,Prof-specialty,?,Not-in-family,Not-in-family,White,White,Male,Male,6849,1173,0,1411,80,38,United-States,United-States,<=50K,<=50K
29,32,Private,Private,148429,114942,HS-grad,HS-grad,9,8,Married-civ-spouse,Married-civ-spouse,Farming-fishing,Craft-repair,Husband,Not-in-family,White,White,Male,Male,0,1173,0,1411,60,45,United-States,United-States,<=50K,<=50K
24,64,Private,Private,210474,74194,Masters,HS-grad,14,8,Never-married,Married-civ-spouse,Prof-specialty,Machine-op-inspct,Own-child,Husband,White,White,Female,Male,0,3908,0,1411,40,27,United-States,United-States,<=50K,<=50K
41,53,Private,Private,510072,67187,Bachelors,HS-grad,13,8,Married-civ-spouse,Separated,Prof-specialty,Handlers-cleaners,Husband,Unmarried,White,White,Male,Male,0,1173,0,1411,40,35,United-States,United-States,>50K,<=50K
21,39,Self-emp-not-inc,Private,328906,195554,HS-grad,HS-grad,9,8,Never-married,Married-civ-spouse,Craft-repair,?,Not-in-family,Husband,White,White,Male,Male,4865,1173,0,1411,35,45,United-States,United-States,<=50K,<=50K
26,41,Private,Private,247196,155781,Some-college,HS-grad,10,8,Never-married,Married-civ-spouse,Handlers-cleaners,Priv-house-serv,Own-child,Husband,White,White,Male,Male,0,5455,0,1411,35,50,United-States,United-States,<=50K,>50K
54,19,Private,Private,178839,222813,HS-grad,HS-grad,9,8,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Machine-op-inspct,Husband,Not-in-family,White,White,Male,Male,0,1173,1848,1411,40,42,England,United-States,>50K,<=50K
60,69,Private,Self-emp-not-inc,178764,97277,HS-grad,HS-grad,9,8,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Other-service,Husband,Husband,White,White,Male,Male,0,1173,0,1411,25,10,United-States,United-States,<=50K,<=50K
38,35,Private,Private,218490,193490,HS-grad,HS-grad,9,8,Never-married,Never-married,Craft-repair,Craft-repair,Own-child,Own-child,White,White,Male,Male,0,1173,0,1411,40,38,United-States,United-States,<=50K,>50K
19,26,Private,Private,44047,297906,HS-grad,HS-grad,9,8,Never-married,Married-civ-spouse,Machine-op-inspct,Craft-repair,Not-in-family,Husband,White,White,Male,Male,0,1173,0,1411,40,35,United-States,United-States,<=50K,<=50K
41,77,Local-gov,?,125268,164966,Bachelors,HS-grad,13,8,Never-married,Married-civ-spouse,Prof-specialty,Other-service,Unmarried,Husband,Black,White,Female,Male,0,2414,0,1411,40,6,United-States,United-States,<=50K,<=50K
37,53,Local-gov,Private,76845,145656,Masters,HS-grad,14,8,Never-married,Married-civ-spouse,Prof-specialty,Other-service,Not-in-family,Not-in-family,Black,White,Male,Male,0,1173,0,1411,40,35,?,United-States,<=50K,<=50K
37,50,Local-gov,Self-emp-not-inc,484475,241895,Bachelors,HS-grad,13,8,Never-married,Married-civ-spouse,Other-service,Exec-managerial,Not-in-family,Husband,Black,Amer-Indian-Eskimo,Male,Male,0,1173,0,1411,60,38,United-States,United-States,<=50K,<=50K
22,53,Private,Private,114357,236379,Some-college,HS-grad,10,8,Never-married,Divorced,Other-service,Sales,Not-in-family,Unmarried,White,White,Male,Female,0,1173,0,1411,35,42,United-States,United-States,<=50K,<=50K
33,35,Private,Private,219619,102388,Masters,HS-grad,14,8,Married-civ-spouse,Separated,Prof-specialty,Craft-repair,Husband,Unmarried,White,White,Male,Male,15024,1173,0,1411,40,38,United-States,United-States,>50K,<=50K
22,72,?,?,33016,152182,Some-college,HS-grad,10,8,Never-married,Married-civ-spouse,?,?,Own-child,Husband,White,White,Male,Male,0,1173,0,1411,40,6,United-States,United-States,<=50K,<=50K
47,26,Local-gov,Private,319205,183146,Some-college,HS-grad,10,8,Divorced,Never-married,Adm-clerical,Handlers-cleaners,Unmarried,Own-child,White,White,Female,Female,0,1173,0,1411,40,35,United-States,United-States,<=50K,<=50K
54,19,?,Private,389182,420973,HS-grad,HS-grad,9,8,Divorced,Married-spouse-absent,?,Craft-repair,Not-in-family,Husband,White,White,Female,Male,0,1173,0,1411,60,23,Germany,United-States,<=50K,<=50K
34,36,Private,Private,262118,259688,Assoc-voc,HS-grad,11,8,Never-married,Divorced,Exec-managerial,Exec-managerial,Unmarried,Not-in-family,Amer-Indian-Eskimo,White,Female,Male,0,1173,0,1411,40,42,United-States,United-States,<=50K,<=50K
50,47,Private,Private,141340,91608,Bachelors,HS-grad,13,8,Married-civ-spouse,Married-civ-spouse,Sales,Transport-moving,Husband,Wife,White,White,Male,Male,0,5455,0,1411,50,38,United-States,United-States,<=50K,>50K
35,19,Private,?,189703,360491,9th,HS-grad,5,8,Married-civ-spouse,Never-married,Other-service,?,Husband,Husband,White,White,Male,Female,0,1173,0,1411,32,23,United-States,United-States,<=50K,<=50K
41,31,?,Private,307589,159021,Bachelors,HS-grad,13,8,Married-civ-spouse,Married-civ-spouse,?,Craft-repair,Wife,Husband,Asian-Pac-Islander,White,Female,Male,0,1173,0,1411,5,53,Philippines,United-States,<=50K,>50K
29,54,Private,Private,116531,208049,Masters,HS-grad,14,8,Never-married,Married-civ-spouse,Prof-specialty,Sales,Not-in-family,Husband,White,White,Female,Male,0,1173,0,1411,40,38,United-States,United-States,<=50K,>50K
27,20,Private,Private,142621,53158,Bachelors,HS-grad,13,8,Never-married,Never-married,Prof-specialty,Protective-serv,Not-in-family,Own-child,White,Black,Female,Male,0,1173,0,1411,40,35,United-States,United-States,<=50K,<=50K
44,26,Self-emp-inc,Private,327573,247337,Masters,HS-grad,14,8,Divorced,Married-civ-spouse,Prof-specialty,Adm-clerical,Not-in-family,Not-in-family,White,White,Male,Female,0,1173,0,1411,40,35,United-States,United-States,<=50K,<=50K
21,29,Private,Self-emp-not-inc,24896,162381,Some-college,HS-grad,10,8,Never-married,Married-spouse-absent,Other-service,Craft-repair,Own-child,Not-in-family,White,White,Female,Male,0,1173,0,1762,35,57,United-States,United-States,<=50K,<=50K
36,60,Private,Private,69251,133420,HS-grad,HS-grad,9,8,Married-civ-spouse,Divorced,Other-service,Craft-repair,Other-relative,Not-in-family,Asian-Pac-Islander,White,Male,Female,0,1173,0,1411,40,38,Philippines,United-States,<=50K,<=50K
38,50,Private,Private,91716,162381,11th,HS-grad,7,8,Divorced,Never-married,Machine-op-inspct,Craft-repair,Not-in-family,Unmarried,White,White,Male,Female,0,1173,0,1411,40,42,United-States,United-States,<=50K,<=50K
38,58,Private,Private,93717,152182,Assoc-voc,HS-grad,11,8,Divorced,Married-civ-spouse,Exec-managerial,Transport-moving,Not-in-family,Husband,White,White,Female,Male,0,1173,0,1411,45,38,United-States,United-States,<=50K,<=50K
38,54,Self-emp-not-inc,Self-emp-not-inc,111499,74194,Prof-school,HS-grad,15,8,Never-married,Widowed,Prof-specialty,Craft-repair,Not-in-family,Not-in-family,White,White,Female,Male,0,1173,0,1411,32,45,United-States,United-States,<=50K,>50K
41,19,?,?,193537,145656,Assoc-acdm,HS-grad,12,8,Divorced,Never-married,?,?,Unmarried,Own-child,White,White,Female,Male,0,1173,0,1411,10,35,Dominican-Republic,United-States,<=50K,<=50K
24,55,Private,Private,307267,105138,Bachelors,HS-grad,13,8,Never-married,Never-married,Adm-clerical,Sales,Not-in-family,Husband,White,White,Female,Male,0,1173,0,1411,40,23,United-States,United-States,<=50K,<=50K
52,34,Private,Self-emp-not-inc,249196,348059,Assoc-acdm,HS-grad,12,8,Married-civ-spouse,Never-married,Exec-managerial,Craft-repair,Husband,Not-in-family,White,White,Male,Male,0,1173,0,1411,55,38,United-States,United-States,>50K,>50K
64,31,?,Private,201700,129059,7th-8th,HS-grad,4,8,Married-civ-spouse,Married-civ-spouse,?,Craft-repair,Husband,Not-in-family,White,Asian-Pac-Islander,Male,Male,0,1173,0,1411,40,50,United-States,United-States,<=50K,>50K
52,41,Private,Private,188644,211242,Some-college,HS-grad,10,8,Married-civ-spouse,Divorced,Transport-moving,Protective-serv,Husband,Not-in-family,White,Black,Male,Male,0,1173,0,1411,30,30,Mexico,United-States,<=50K,<=50K
32,67,Private,Private,255004,253856,HS-grad,HS-grad,9,8,Married-civ-spouse,Never-married,Craft-repair,Farming-fishing,Husband,Not-in-family,White,White,Male,Female,0,1173,0,1411,50,6,United-States,United-States,<=50K,<=50K
34,44,Private,Private,100145,282944,Some-college,HS-grad,10,8,Married-civ-spouse,Married-civ-spouse,Adm-clerical,Adm-clerical,Wife,Unmarried,White,Amer-Indian-Eskimo,Female,Male,0,1173,0,1411,20,38,United-States,?,<=50K,>50K
