age,age_noworkclass,workclass,workclass_noworkclass,fnlwgt,fnlwgt_noworkclass,education,education_noworkclass,education_num,education_num_noworkclass,marital_status,marital_status_noworkclass,occupation,occupation_noworkclass,relationship,relationship_noworkclass,race,race_noworkclass,sex,sex_noworkclass,capital_gain,capital_gain_noworkclass,capital_loss,capital_loss_noworkclass,hours_per_week,hours_per_week_noworkclass,native_country,native_country_noworkclass,income_per_year,income_per_year_noworkclass
54,36,Private,Private,297551,235521,Some-college,Bachelors,10,14,Married-civ-spouse,Married-civ-spouse,Craft-repair,Adm-clerical,Husband,Husband,White,White,Male,Male,7298,3674,0,1741,40,34,United-States,United-States,>50K,<=50K
46,23,Private,Private,343579,84390,Bachelors,HS-grad,13,6,Married-civ-spouse,Married-civ-spouse,Craft-repair,Prof-specialty,Husband,Own-child,White,White,Male,Female,0,3674,0,1741,77,55,United-States,Philippines,<=50K,>50K
34,23,Private,Private,230246,185616,HS-grad,Bachelors,9,14,Never-married,Never-married,Craft-repair,Prof-specialty,Not-in-family,Not-in-family,White,White,Male,Male,2202,3674,0,1741,99,43,United-States,United-States,<=50K,<=50K
57,36,Self-emp-not-inc,Private,110199,116080,HS-grad,Some-college,9,10,Married-civ-spouse,Married-civ-spouse,Farming-fishing,Other-service,Husband,Husband,White,White,Male,Male,0,3674,0,1741,20,34,United-States,United-States,<=50K,<=50K
32,23,Private,Private,178691,235521,Bachelors,HS-grad,13,10,Never-married,Never-married,Exec-managerial,Exec-managerial,Own-child,Not-in-family,White,White,Female,Male,0,3674,0,1741,45,34,United-States,United-States,<=50K,<=50K
36,23,Self-emp-not-inc,Private,165855,288825,Bachelors,HS-grad,13,10,Married-civ-spouse,Never-married,Sales,Craft-repair,Husband,Own-child,White,White,Male,Female,0,3674,0,1741,40,34,Germany,United-States,<=50K,<=50K
34,23,Private,Private,27565,288825,Assoc-voc,12th,11,6,Married-civ-spouse,Never-married,Craft-repair,Prof-specialty,Wife,Unmarried,Amer-Indian-Eskimo,White,Female,Male,0,3674,0,1741,27,34,United-States,United-States,>50K,<=50K
54,51,Private,Private,220115,137733,HS-grad,Masters,9,14,Married-civ-spouse,Married-civ-spouse,Craft-repair,Prof-specialty,Husband,Not-in-family,White,White,Male,Female,0,3674,1628,1741,40,43,United-States,United-States,<=50K,>50K
34,23,Private,Private,113751,84390,11th,Some-college,7,10,Divorced,Never-married,Sales,Prof-specialty,Own-child,Own-child,Black,White,Female,Female,0,3674,0,1741,37,43,United-States,United-States,<=50K,<=50K
72,23,Private,Private,128793,35603,5th-6th,HS-grad,3,10,Married-civ-spouse,Married-civ-spouse,Other-service,Prof-specialty,Husband,Own-child,Black,White,Male,Female,0,3674,0,1741,36,34,United-States,United-States,<=50K,<=50K
23,36,Private,Private,97472,379885,HS-grad,HS-grad,9,10,Married-civ-spouse,Divorced,Craft-repair,Machine-op-inspct,Husband,Not-in-family,White,White,Male,Male,0,3674,0,1741,40,20,United-States,United-States,<=50K,<=50K
53,36,Private,Private,153064,116080,5th-6th,Some-college,3,10,Married-civ-spouse,Never-married,Exec-managerial,Adm-clerical,Husband,Husband,White,Black,Male,Female,7688,3674,0,1741,10,43,Yugoslavia,United-States,>50K,<=50K
57,23,Private,Private,190488,137733,11th,Some-college,7,10,Married-civ-spouse,Married-civ-spouse,Craft-repair,Prof-specialty,Husband,Own-child,White,Amer-Indian-Eskimo,Male,Male,0,3674,0,1741,40,34,United-States,United-States,>50K,<=50K
22,64,Local-gov,Private,326283,116080,Some-college,7th-8th,10,2,Never-married,Married-civ-spouse,Exec-managerial,Other-service,Own-child,Husband,Asian-Pac-Islander,White,Male,Male,0,3674,0,1741,20,20,United-States,United-States,<=50K,<=50K
40,51,Private,Private,61287,379885,Some-college,Bachelors,10,14,Married-civ-spouse,Married-civ-spouse,Tech-support,Exec-managerial,Husband,Husband,White,White,Male,Male,0,3674,0,1741,40,34,United-States,United-States,<=50K,>50K
31,51,Private,Private,214288,160703,Some-college,Some-college,10,10,Married-civ-spouse,Married-civ-spouse,Craft-repair,Exec-managerial,Husband,Husband,White,White,Male,Male,0,3674,0,1741,40,43,United-States,United-States,<=50K,<=50K
18,36,Private,Private,198856,116080,Some-college,Assoc-voc,10,10,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Own-child,Husband,White,White,Female,Male,0,3674,0,1741,32,34,United-States,United-States,<=50K,<=50K
51,51,Federal-gov,Private,914061,35603,Some-college,Some-college,10,10,Married-civ-spouse,Married-civ-spouse,Adm-clerical,Exec-managerial,Husband,Husband,White,White,Male,Male,0,3674,0,1741,44,34,United-States,United-States,>50K,>50K
24,36,Private,Private,186648,235521,Assoc-acdm,Bachelors,12,6,Never-married,Married-civ-spouse,Sales,Machine-op-inspct,Own-child,Wife,White,White,Male,Female,0,3674,0,1741,25,34,United-States,United-States,<=50K,<=50K
49,36,Private,Private,350759,288825,Bachelors,HS-grad,13,10,Married-civ-spouse,Never-married,Sales,Adm-clerical,Husband,Not-in-family,White,White,Male,Male,0,3674,0,1741,60,34,United-States,United-States,>50K,<=50K
76,23,?,Private,197988,379885,5th-6th,Some-college,3,10,Married-civ-spouse,Divorced,?,Adm-clerical,Husband,Own-child,White,White,Male,Male,0,3674,0,1741,8,34,United-States,United-States,<=50K,<=50K
37,51,Private,Private,188571,35603,HS-grad,10th,9,6,Married-civ-spouse,Married-civ-spouse,Transport-moving,Other-service,Husband,Husband,White,White,Male,Male,0,3674,0,1741,40,34,United-States,United-States,<=50K,<=50K
29,36,Private,Private,112776,288825,HS-grad,Some-college,9,10,Divorced,Never-married,Exec-managerial,Prof-specialty,Unmarried,Unmarried,White,White,Female,Female,0,3674,0,1741,45,55,United-States,United-States,<=50K,<=50K
21,36,Private,Private,100345,84390,HS-grad,Some-college,9,10,Never-married,Never-married,Craft-repair,Exec-managerial,Own-child,Own-child,White,Asian-Pac-Islander,Male,Male,0,3674,0,1741,53,34,United-States,Philippines,<=50K,<=50K
49,51,Private,Private,291783,160703,Bachelors,Some-college,13,10,Married-civ-spouse,Never-married,Sales,Farming-fishing,Husband,Not-in-family,White,White,Male,Male,0,3674,0,1741,40,34,United-States,United-States,<=50K,<=50K
69,36,?,Private,156387,288825,HS-grad,Bachelors,9,14,Married-civ-spouse,Married-civ-spouse,?,Exec-managerial,Husband,Unmarried,White,White,Male,Male,0,3674,0,1741,40,43,United-States,United-States,<=50K,>50K
38,36,?,Private,295166,137733,HS-grad,Assoc-acdm,9,14,Married-civ-spouse,Married-civ-spouse,?,Handlers-cleaners,Husband,Husband,Black,White,Male,Male,0,3674,0,1741,40,34,United-States,United-States,<=50K,>50K
44,51,Private,Private,132849,84390,Masters,Masters,14,6,Never-married,Never-married,Craft-repair,Adm-clerical,Unmarried,Unmarried,Black,White,Female,Male,0,3674,0,1741,40,20,United-States,United-States,<=50K,<=50K
31,23,Private,Private,300497,116080,Some-college,Some-college,10,10,Divorced,Married-civ-spouse,Exec-managerial,Adm-clerical,Unmarried,Own-child,Black,White,Male,Female,0,3674,0,1741,40,34,United-States,United-States,<=50K,<=50K
54,36,Private,Private,338089,137733,Masters,HS-grad,14,10,Separated,Never-married,Exec-managerial,Craft-repair,Not-in-family,Not-in-family,White,White,Male,Male,0,3674,0,1741,40,34,United-States,United-States,<=50K,<=50K
26,36,Private,Private,104257,379885,HS-grad,12th,9,6,Never-married,Married-civ-spouse,Other-service,Adm-clerical,Not-in-family,Husband,White,White,Female,Female,0,3674,0,1741,50,34,United-States,United-States,<=50K,<=50K
40,64,Private,Private,112247,185616,Bachelors,Bachelors,13,14,Never-married,Married-civ-spouse,Exec-managerial,Exec-managerial,Not-in-family,Husband,White,White,Female,Male,0,3674,0,1741,50,43,United-States,United-States,<=50K,>50K
41,64,Federal-gov,Private,73070,160703,Masters,HS-grad,14,10,Never-married,Widowed,Prof-specialty,Adm-clerical,Other-relative,Not-in-family,White,Asian-Pac-Islander,Female,Female,0,3674,0,1741,40,20,United-States,United-States,<=50K,<=50K
48,23,Self-emp-inc,Private,49298,116080,Doctorate,11th,16,6,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Other-service,Husband,Husband,White,White,Male,Male,0,3674,1902,1741,50,43,United-States,United-States,>50K,<=50K
51,23,Local-gov,Private,289390,288825,Masters,Bachelors,14,14,Married-civ-spouse,Never-married,Prof-specialty,Adm-clerical,Husband,Not-in-family,White,White,Male,Male,7298,3674,0,1741,40,34,United-States,United-States,>50K,<=50K
36,64,Private,Private,219546,84390,Some-college,9th,10,6,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Machine-op-inspct,Husband,Husband,White,White,Male,Male,0,3674,0,1741,60,34,United-States,United-States,>50K,<=50K
35,36,Private,Private,194490,137733,HS-grad,HS-grad,9,10,Never-married,Married-civ-spouse,Craft-repair,Craft-repair,Not-in-family,Husband,White,White,Female,Male,0,3674,0,1741,40,34,United-States,United-States,<=50K,>50K
32,51,Private,Private,358655,116080,Masters,HS-grad,14,14,Divorced,Married-civ-spouse,Sales,Prof-specialty,Not-in-family,Husband,White,White,Female,Male,0,3674,0,1741,50,20,United-States,United-States,>50K,>50K
39,23,Private,Private,286026,288825,Bachelors,Some-college,13,10,Married-civ-spouse,Married-civ-spouse,Craft-repair,Adm-clerical,Husband,Husband,White,White,Male,Male,0,3674,0,1741,52,43,United-States,United-States,<=50K,<=50K
55,36,Private,Private,401473,137733,Masters,HS-grad,14,10,Widowed,Married-civ-spouse,Exec-managerial,Exec-managerial,Not-in-family,Husband,White,White,Female,Female,0,3674,0,1741,40,34,United-States,United-States,>50K,<=50K
26,36,Private,Private,197967,288825,HS-grad,7th-8th,9,10,Never-married,Married-civ-spouse,Craft-repair,Prof-specialty,Own-child,Husband,White,White,Male,Female,0,3674,0,1741,40,75,United-States,United-States,<=50K,<=50K
46,51,Local-gov,Private,216647,235521,10th,HS-grad,6,10,Divorced,Married-civ-spouse,Protective-serv,Craft-repair,Unmarried,Husband,White,White,Female,Male,0,3674,0,1741,20,34,United-States,United-States,<=50K,>50K
70,64,Self-emp-not-inc,Private,355536,235521,HS-grad,Some-college,9,10,Married-civ-spouse,Never-married,Tech-support,Adm-clerical,Wife,Husband,White,White,Female,Male,0,3674,0,1741,24,43,United-States,United-States,<=50K,>50K
20,36,Private,Private,193130,379885,Some-college,Prof-school,10,14,Never-married,Married-civ-spouse,Adm-clerical,Tech-support,Own-child,Husband,White,Asian-Pac-Islander,Female,Male,0,3674,0,1741,30,34,United-States,United-States,<=50K,<=50K
46,51,Self-emp-inc,Private,67725,288825,Bachelors,Bachelors,13,14,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Exec-managerial,Husband,Husband,White,White,Male,Male,0,3674,0,1741,10,55,United-States,United-States,<=50K,>50K
35,23,Private,Private,209629,35603,HS-grad,Bachelors,9,14,Divorced,Never-married,Exec-managerial,Tech-support,Not-in-family,Not-in-family,White,White,Male,Male,0,3674,0,1741,40,34,United-States,United-States,<=50K,<=50K
20,51,Private,Private,143964,204817,HS-grad,Some-college,9,10,Never-married,Never-married,Other-service,Other-service,Own-child,Unmarried,Black,Asian-Pac-Islander,Female,Female,0,3674,0,1741,40,34,United-States,United-States,<=50K,<=50K
57,36,Self-emp-inc,Private,249072,160703,Some-college,Masters,10,14,Married-civ-spouse,Never-married,Exec-managerial,Adm-clerical,Husband,Husband,White,White,Male,Male,99999,3674,0,1741,60,34,United-States,United-States,>50K,<=50K
64,36,?,Private,285742,288825,10th,HS-grad,6,10,Married-civ-spouse,Never-married,?,Exec-managerial,Husband,Not-in-family,White,Black,Male,Male,0,3674,0,1741,50,43,United-States,United-States,>50K,<=50K
63,23,Self-emp-not-inc,Private,130221,84390,Masters,Some-college,14,10,Married-civ-spouse,Never-married,Sales,Exec-managerial,Husband,Own-child,White,White,Male,Female,0,3674,0,1741,60,20,United-States,United-States,>50K,<=50K
21,36,Federal-gov,Private,201815,116080,Some-college,Some-college,10,10,Never-married,Married-civ-spouse,Adm-clerical,Exec-managerial,Own-child,Own-child,Black,White,Female,Male,0,3674,0,1741,30,34,United-States,United-States,<=50K,<=50K
43,36,Local-gov,Private,67243,185616,Bachelors,HS-grad,13,10,Married-civ-spouse,Married-civ-spouse,Protective-serv,Adm-clerical,Husband,Husband,White,White,Male,Male,0,3674,0,1741,45,34,United-States,United-States,>50K,<=50K
35,64,Private,Private,202263,379885,Assoc-acdm,Masters,12,6,Never-married,Married-civ-spouse,Exec-managerial,Adm-clerical,Not-in-family,Husband,White,Black,Male,Male,0,3674,0,1741,38,20,United-States,Trinadad&Tobago,<=50K,<=50K
21,51,Private,Private,122048,116080,Some-college,Some-college,10,10,Never-married,Divorced,Adm-clerical,Adm-clerical,Own-child,Unmarried,White,White,Female,Male,0,3674,0,1741,29,34,United-States,United-States,<=50K,<=50K
23,23,Private,Private,231866,84390,HS-grad,Assoc-acdm,9,10,Never-married,Never-married,Handlers-cleaners,Prof-specialty,Own-child,Other-relative,White,White,Male,Male,0,3674,0,1741,38,34,United-States,United-States,<=50K,<=50K
35,23,Private,Private,211440,160703,Assoc-acdm,Prof-school,12,10,Married-civ-spouse,Never-married,Prof-specialty,Other-service,Husband,Own-child,White,White,Male,Male,0,3674,0,1741,45,7,United-States,United-States,<=50K,<=50K
28,23,Private,Private,25955,84390,Assoc-voc,Some-college,11,10,Never-married,Married-civ-spouse,Prof-specialty,Prof-specialty,Unmarried,Husband,Amer-Indian-Eskimo,Amer-Indian-Eskimo,Male,Male,0,3674,0,1741,40,34,United-States,United-States,<=50K,<=50K
61,36,?,Private,274499,35603,HS-grad,5th-6th,9,2,Married-civ-spouse,Married-civ-spouse,?,Prof-specialty,Husband,Husband,Black,White,Male,Male,0,3674,0,1741,40,34,United-States,United-States,<=50K,<=50K
45,23,Self-emp-not-inc,Private,305474,35603,10th,HS-grad,6,10,Married-civ-spouse,Divorced,Craft-repair,Craft-repair,Husband,Not-in-family,Black,White,Male,Female,0,3674,0,1741,40,20,Haiti,United-States,<=50K,<=50K
73,23,Local-gov,Private,222702,235521,10th,HS-grad,6,10,Married-civ-spouse,Never-married,Farming-fishing,Exec-managerial,Husband,Not-in-family,White,Black,Male,Female,0,3674,0,1741,5,34,United-States,United-States,<=50K,<=50K
33,23,State-gov,Private,120460,379885,HS-grad,10th,9,6,Married-civ-spouse,Separated,Craft-repair,Other-service,Husband,Husband,White,White,Male,Female,0,3674,0,1741,40,20,United-States,United-States,<=50K,<=50K
25,36,Private,Private,31657,84390,Assoc-voc,Bachelors,11,14,Separated,Divorced,Other-service,Prof-specialty,Not-in-family,Not-in-family,White,White,Female,Female,0,3674,0,1741,34,34,United-States,United-States,<=50K,<=50K
19,36,Private,Private,327079,160703,Some-college,Some-college,10,10,Never-married,Never-married,Adm-clerical,Other-service,Own-child,Unmarried,White,White,Female,Female,0,3674,0,1741,40,20,United-States,United-States,<=50K,<=50K
42,23,Private,Private,234633,160703,11th,Bachelors,7,6,Married-civ-spouse,Never-married,Transport-moving,Prof-specialty,Husband,Not-in-family,White,Black,Male,Male,0,3674,0,1741,47,34,United-States,United-States,<=50K,<=50K
27,23,Private,Private,203776,185616,Bachelors,HS-grad,13,10,Married-civ-spouse,Never-married,Sales,Adm-clerical,Husband,Wife,White,White,Male,Female,7688,3674,0,1741,45,34,United-States,United-States,>50K,<=50K
24,51,Self-emp-inc,Private,242138,204817,Bachelors,HS-grad,13,10,Never-married,Married-civ-spouse,Sales,Adm-clerical,Own-child,Unmarried,White,White,Female,Female,0,3674,0,1741,20,34,United-States,United-States,<=50K,<=50K
19,36,Private,Private,276937,288825,Some-college,HS-grad,10,10,Never-married,Divorced,Sales,Exec-managerial,Own-child,Not-in-family,White,White,Female,Female,0,3674,0,1741,25,34,United-States,United-States,<=50K,<=50K
36,64,Private,Private,117528,235521,HS-grad,HS-grad,9,10,Separated,Married-civ-spouse,Adm-clerical,Exec-managerial,Unmarried,Husband,White,White,Female,Male,0,3674,0,1741,38,34,United-States,United-States,<=50K,<=50K
41,36,Self-emp-not-inc,Private,171351,84390,HS-grad,HS-grad,9,10,Married-civ-spouse,Married-civ-spouse,Craft-repair,Craft-repair,Husband,Husband,White,White,Male,Male,0,3674,0,1741,50,34,United-States,United-States,>50K,<=50K
43,23,Private,Private,138471,160703,Some-college,Some-college,10,10,Never-married,Separated,Adm-clerical,Adm-clerical,Not-in-family,Own-child,White,White,Male,Female,0,3674,0,1741,40,34,United-States,United-States,<=50K,<=50K
40,36,Local-gov,Private,329341,137733,Masters,Assoc-voc,14,10,Married-civ-spouse,Divorced,Exec-managerial,Adm-clerical,Husband,Own-child,White,White,Male,Male,0,3674,0,1741,35,20,United-States,United-States,>50K,<=50K
57,36,Private,Private,62539,35603,HS-grad,Assoc-voc,9,10,Divorced,Married-civ-spouse,Adm-clerical,Adm-clerical,Unmarried,Husband,White,White,Female,Male,0,3674,1876,1741,38,34,United-States,United-States,<=50K,>50K
58,23,Private,Private,265579,288825,HS-grad,Assoc-acdm,9,10,Divorced,Never-married,Adm-clerical,Adm-clerical,Not-in-family,Not-in-family,White,Asian-Pac-Islander,Female,Female,0,3674,0,1741,40,34,United-States,United-States,<=50K,<=50K
22,64,Private,Private,218215,288825,Some-college,Bachelors,10,14,Never-married,Married-civ-spouse,Adm-clerical,Exec-managerial,Own-child,Husband,White,White,Female,Male,0,3674,0,1741,35,34,United-States,United-States,<=50K,>50K
39,36,Federal-gov,Private,116369,160703,Some-college,Assoc-voc,10,10,Married-civ-spouse,Divorced,Adm-clerical,Prof-specialty,Husband,Not-in-family,White,Black,Male,Male,0,3674,0,1741,48,34,United-States,United-States,<=50K,<=50K
24,64,Private,Private,403107,185616,Preschool,HS-grad,1,10,Never-married,Married-civ-spouse,Adm-clerical,Other-service,Not-in-family,Husband,White,White,Male,Male,0,3674,0,1741,40,7,Mexico,United-States,<=50K,<=50K
29,36,State-gov,Private,103389,116080,Prof-school,HS-grad,15,10,Never-married,Married-civ-spouse,Prof-specialty,Exec-managerial,Not-in-family,Husband,White,White,Female,Male,4787,3674,0,1741,40,34,United-States,United-States,>50K,>50K
26,51,State-gov,Private,624006,84390,HS-grad,HS-grad,9,10,Married-civ-spouse,Divorced,Other-service,Machine-op-inspct,Husband,Not-in-family,White,White,Male,Female,0,3674,0,1741,40,43,United-States,United-States,<=50K,<=50K
27,36,Private,Private,344094,35603,HS-grad,HS-grad,9,10,Never-married,Divorced,Craft-repair,Farming-fishing,Own-child,Other-relative,White,White,Male,Female,0,3674,0,1741,40,34,United-States,United-States,<=50K,<=50K
67,36,Self-emp-inc,Private,147377,185616,HS-grad,Bachelors,9,14,Married-civ-spouse,Divorced,Exec-managerial,Prof-specialty,Husband,Not-in-family,White,White,Male,Male,0,3674,0,1741,45,34,United-States,United-States,<=50K,<=50K
49,36,Private,Private,90579,235521,HS-grad,HS-grad,9,10,Married-civ-spouse,Married-civ-spouse,Craft-repair,Sales,Husband,Wife,Black,Black,Male,Female,5013,3674,0,1741,50,43,United-States,Dominican-Republic,<=50K,>50K
47,51,Private,Private,91972,35603,HS-grad,Masters,9,14,Married-civ-spouse,Married-civ-spouse,Priv-house-serv,Prof-specialty,Wife,Husband,White,White,Female,Male,0,3674,0,1741,35,43,United-States,United-States,>50K,>50K
59,23,Self-emp-not-inc,Private,275236,288825,11th,Bachelors,7,14,Married-civ-spouse,Never-married,Sales,Prof-specialty,Husband,Not-in-family,White,White,Male,Female,0,3674,0,1741,70,34,United-States,United-States,>50K,<=50K
23,23,Private,Private,340432,379885,HS-grad,HS-grad,9,10,Never-married,Married-civ-spouse,Craft-repair,Tech-support,Not-in-family,Other-relative,White,White,Male,Female,0,3674,0,1741,40,34,United-States,Canada,<=50K,>50K
35,36,Private,Private,158592,379885,Assoc-voc,Some-college,11,14,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Other-service,Husband,Husband,White,White,Male,Male,3103,3674,0,1741,50,43,United-States,United-States,>50K,>50K
48,23,Private,Private,278303,137733,HS-grad,HS-grad,9,10,Married-civ-spouse,Separated,Craft-repair,Adm-clerical,Husband,Unmarried,White,Black,Male,Male,0,3674,0,1741,55,34,United-States,United-States,<=50K,<=50K
33,23,Self-emp-not-inc,Private,300681,288825,10th,11th,6,6,Married-civ-spouse,Never-married,Transport-moving,Transport-moving,Husband,Not-in-family,Black,White,Male,Female,0,3674,0,1741,50,34,?,United-States,<=50K,<=50K
37,23,Private,Private,160192,204817,Assoc-acdm,Assoc-voc,12,10,Never-married,Married-civ-spouse,Prof-specialty,Adm-clerical,Not-in-family,Not-in-family,White,White,Male,Male,6849,3674,0,1741,80,43,United-States,United-States,<=50K,<=50K
29,36,Private,Private,148429,116080,HS-grad,Bachelors,9,6,Married-civ-spouse,Separated,Farming-fishing,Adm-clerical,Husband,Not-in-family,White,White,Male,Male,0,3674,0,1741,60,34,United-States,United-States,<=50K,<=50K
24,64,Private,Private,210474,84390,Masters,Bachelors,14,14,Never-married,Never-married,Prof-specialty,Machine-op-inspct,Own-child,Husband,White,Black,Female,Male,0,3674,0,1741,40,20,United-States,United-States,<=50K,<=50K
41,51,Private,Private,510072,35603,Bachelors,HS-grad,13,10,Married-civ-spouse,Separated,Prof-specialty,Adm-clerical,Husband,Unmarried,White,White,Male,Male,0,3674,0,1741,40,34,United-States,United-States,>50K,<=50K
21,36,Self-emp-not-inc,Private,328906,185616,HS-grad,Some-college,9,10,Never-married,Married-civ-spouse,Craft-repair,Craft-repair,Not-in-family,Husband,White,White,Male,Male,4865,3674,0,1741,35,43,United-States,United-States,<=50K,<=50K
26,36,Private,Private,247196,160703,Some-college,Bachelors,10,14,Never-married,Married-civ-spouse,Handlers-cleaners,Adm-clerical,Own-child,Wife,White,White,Male,Male,0,3674,0,1741,35,43,United-States,United-States,<=50K,>50K
54,23,Private,Private,178839,204817,HS-grad,HS-grad,9,6,Married-civ-spouse,Never-married,Exec-managerial,Adm-clerical,Husband,Not-in-family,White,White,Male,Male,0,3674,1848,1741,40,34,England,United-States,>50K,<=50K
60,77,Private,Private,178764,84390,HS-grad,Bachelors,9,14,Married-civ-spouse,Widowed,Prof-specialty,Exec-managerial,Husband,Own-child,White,White,Male,Male,0,3674,0,1741,25,7,United-States,United-States,<=50K,<=50K
38,36,Private,Private,218490,185616,HS-grad,Doctorate,9,14,Never-married,Married-civ-spouse,Craft-repair,Prof-specialty,Own-child,Husband,White,White,Male,Male,0,3674,0,1741,40,34,United-States,United-States,<=50K,>50K
19,23,Private,Private,44047,288825,HS-grad,HS-grad,9,10,Never-married,Married-civ-spouse,Machine-op-inspct,Craft-repair,Not-in-family,Husband,White,White,Male,Male,0,3674,0,1741,40,34,United-States,United-States,<=50K,<=50K
41,77,Local-gov,Private,125268,160703,Bachelors,Preschool,13,6,Never-married,Married-civ-spouse,Prof-specialty,Craft-repair,Unmarried,Husband,Black,Black,Female,Male,0,3674,0,1741,40,7,United-States,United-States,<=50K,<=50K
37,51,Local-gov,Private,76845,137733,Masters,HS-grad,14,10,Never-married,Married-civ-spouse,Prof-specialty,Adm-clerical,Not-in-family,Not-in-family,Black,White,Male,Female,0,3674,0,1741,40,34,?,United-States,<=50K,<=50K
37,51,Local-gov,Private,484475,235521,Bachelors,7th-8th,13,2,Never-married,Never-married,Other-service,Craft-repair,Not-in-family,Husband,Black,Amer-Indian-Eskimo,Male,Male,0,3674,0,1741,60,34,United-States,United-States,<=50K,<=50K
22,51,Private,Private,114357,235521,Some-college,Some-college,10,10,Never-married,Divorced,Other-service,Other-service,Not-in-family,Unmarried,White,White,Male,Female,0,3674,0,1741,35,43,United-States,United-States,<=50K,<=50K
33,36,Private,Private,219619,84390,Masters,HS-grad,14,10,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Craft-repair,Husband,Unmarried,White,White,Male,Male,15024,3674,0,1741,40,43,United-States,United-States,>50K,<=50K
22,77,?,Private,33016,137733,Some-college,Some-college,10,10,Never-married,Married-civ-spouse,?,Adm-clerical,Own-child,Husband,White,White,Male,Male,0,3674,0,1741,40,7,United-States,United-States,<=50K,<=50K
47,23,Local-gov,Private,319205,160703,Some-college,HS-grad,10,10,Divorced,Separated,Adm-clerical,Other-service,Unmarried,Own-child,White,White,Female,Female,0,3674,0,1741,40,34,United-States,United-States,<=50K,<=50K
54,23,?,Private,389182,379885,HS-grad,HS-grad,9,6,Divorced,Never-married,?,Craft-repair,Not-in-family,Husband,White,White,Female,Male,0,3674,0,1741,60,20,Germany,United-States,<=50K,<=50K
34,36,Private,Private,262118,235521,Assoc-voc,HS-grad,11,10,Never-married,Divorced,Exec-managerial,Exec-managerial,Unmarried,Not-in-family,Amer-Indian-Eskimo,White,Female,Male,0,3674,0,1741,40,43,United-States,United-States,<=50K,<=50K
50,51,Private,Private,141340,84390,Bachelors,Bachelors,13,14,Married-civ-spouse,Married-civ-spouse,Sales,Transport-moving,Husband,Husband,White,White,Male,Male,0,3674,0,1741,50,34,United-States,United-States,<=50K,>50K
35,23,Private,Private,189703,379885,9th,Masters,5,10,Married-civ-spouse,Married-civ-spouse,Other-service,Prof-specialty,Husband,Husband,White,White,Male,Female,0,3674,0,1741,32,34,United-States,United-States,<=50K,<=50K
41,36,?,Private,307589,137733,Bachelors,Some-college,13,10,Married-civ-spouse,Married-civ-spouse,?,Exec-managerial,Wife,Husband,Asian-Pac-Islander,White,Female,Male,0,3674,0,1741,5,43,Philippines,United-States,<=50K,>50K
29,51,Private,Private,116531,204817,Masters,Bachelors,14,14,Never-married,Married-civ-spouse,Prof-specialty,Handlers-cleaners,Not-in-family,Husband,White,White,Female,Male,0,3674,0,1741,40,34,United-States,United-States,<=50K,>50K
27,23,Private,Private,142621,35603,Bachelors,Masters,13,10,Never-married,Never-married,Prof-specialty,Prof-specialty,Not-in-family,Wife,White,Black,Female,Male,0,3674,0,1741,40,34,United-States,United-States,<=50K,<=50K
44,23,Self-emp-inc,Private,327573,235521,Masters,Some-college,14,10,Divorced,Never-married,Prof-specialty,Adm-clerical,Not-in-family,Not-in-family,White,White,Male,Female,0,3674,0,1741,40,34,United-States,United-States,<=50K,<=50K
21,36,Private,Private,24896,160703,Some-college,Bachelors,10,14,Never-married,Married-spouse-absent,Other-service,Exec-managerial,Own-child,Not-in-family,White,White,Female,Male,0,3674,0,1741,35,55,United-States,United-States,<=50K,<=50K
36,51,Private,Private,69251,137733,HS-grad,5th-6th,9,2,Married-civ-spouse,Divorced,Other-service,Prof-specialty,Other-relative,Not-in-family,Asian-Pac-Islander,White,Male,Female,0,3674,0,1741,40,34,Philippines,United-States,<=50K,<=50K
38,51,Private,Private,91716,137733,11th,Masters,7,10,Divorced,Divorced,Machine-op-inspct,Exec-managerial,Not-in-family,Unmarried,White,White,Male,Female,0,3674,0,1741,40,43,United-States,United-States,<=50K,<=50K
38,64,Private,Private,93717,137733,Assoc-voc,7th-8th,11,2,Divorced,Married-civ-spouse,Exec-managerial,Transport-moving,Not-in-family,Husband,White,White,Female,Male,0,3674,0,1741,45,34,United-States,United-States,<=50K,<=50K
38,51,Self-emp-not-inc,Private,111499,84390,Prof-school,HS-grad,15,10,Never-married,Widowed,Prof-specialty,Adm-clerical,Not-in-family,Not-in-family,White,White,Female,Male,0,3674,0,1741,32,43,United-States,United-States,<=50K,>50K
41,23,?,Private,193537,137733,Assoc-acdm,Masters,12,10,Divorced,Never-married,?,Exec-managerial,Unmarried,Own-child,White,White,Female,Male,0,3674,0,1741,10,43,Dominican-Republic,United-States,<=50K,<=50K
24,51,Private,Private,307267,116080,Bachelors,Assoc-voc,13,14,Never-married,Married-civ-spouse,Adm-clerical,Craft-repair,Not-in-family,Husband,White,White,Female,Male,0,3674,0,1741,40,20,United-States,United-States,<=50K,<=50K
