age,age_noage,workclass,workclass_noage,fnlwgt,fnlwgt_noage,education,education_noage,education_num,education_num_noage,marital_status,marital_status_noage,occupation,occupation_noage,relationship,relationship_noage,race,race_noage,sex,sex_noage,capital_gain,capital_gain_noage,capital_loss,capital_loss_noage,hours_per_week,hours_per_week_noage,native_country,native_country_noage,income_per_year,income_per_year_noage
45,28,Private,Private,54038,114774,Some-college,HS-grad,10,12,Married-civ-spouse,Married-civ-spouse,Adm-clerical,Machine-op-inspct,Wife,Husband,White,White,Female,Male,0,3818,1902,1741,20,18,United-States,United-States,>50K,>50K
63,28,Private,Self-emp-not-inc,281025,233149,9th,12th,5,4,Married-civ-spouse,Married-civ-spouse,Handlers-cleaners,Handlers-cleaners,Husband,Husband,White,Black,Male,Male,0,3818,0,1741,32,18,United-States,United-States,<=50K,>50K
53,28,Private,Private,258832,233149,HS-grad,Masters,9,12,Never-married,Never-married,Other-service,Sales,Other-relative,Not-in-family,Asian-Pac-Islander,White,Male,Male,0,3818,0,1741,10,52,Philippines,United-States,<=50K,<=50K
24,28,Private,Private,131220,114774,HS-grad,Some-college,9,12,Never-married,Divorced,Adm-clerical,Prof-specialty,Own-child,Not-in-family,Black,White,Female,Male,0,3818,0,1741,40,18,United-States,United-States,<=50K,<=50K
65,28,?,Local-gov,190454,233149,11th,Masters,7,12,Married-civ-spouse,Never-married,?,Prof-specialty,Husband,Not-in-family,White,White,Male,Male,0,3818,0,1741,29,18,United-States,United-States,<=50K,<=50K
43,28,Private,Private,315971,114774,Assoc-acdm,Bachelors,12,12,Never-married,Married-civ-spouse,Prof-specialty,Sales,Not-in-family,Not-in-family,White,White,Female,Female,0,3818,0,1741,32,18,?,United-States,>50K,<=50K
47,28,Private,Private,265097,233149,HS-grad,Assoc-acdm,9,12,Married-civ-spouse,Divorced,Machine-op-inspct,Prof-specialty,Husband,Unmarried,White,White,Male,Female,0,3818,0,1741,40,18,United-States,United-States,<=50K,>50K
41,28,Private,State-gov,185057,233149,HS-grad,Some-college,9,12,Never-married,Married-civ-spouse,Exec-managerial,Transport-moving,Unmarried,Husband,White,White,Female,Male,0,3818,0,1741,40,18,United-States,United-States,<=50K,<=50K
27,28,Private,Private,169557,233149,HS-grad,HS-grad,9,12,Divorced,Married-civ-spouse,Machine-op-inspct,?,Not-in-family,Husband,White,Black,Male,Male,6849,3818,0,1741,40,18,United-States,United-States,<=50K,>50K
35,28,Self-emp-inc,Local-gov,333636,114774,HS-grad,Masters,9,4,Married-civ-spouse,Married-spouse-absent,Exec-managerial,Craft-repair,Husband,Not-in-family,Black,Asian-Pac-Islander,Male,Male,0,3818,0,1741,75,52,United-States,United-States,<=50K,<=50K
19,28,Private,Self-emp-inc,181652,114774,Some-college,9th,10,4,Never-married,Married-civ-spouse,Adm-clerical,Machine-op-inspct,Own-child,Not-in-family,White,White,Female,Male,0,3818,0,1741,24,52,United-States,United-States,<=50K,<=50K
47,28,Private,?,34307,114774,Some-college,HS-grad,10,12,Separated,Divorced,Other-service,Exec-managerial,Not-in-family,Not-in-family,White,White,Female,Male,0,3818,0,1741,35,18,United-States,United-States,<=50K,<=50K
25,28,Federal-gov,State-gov,198813,114774,Bachelors,Bachelors,13,4,Never-married,Married-civ-spouse,Adm-clerical,Exec-managerial,Unmarried,Unmarried,Black,White,Female,Male,0,3818,1590,1741,40,18,United-States,United-States,<=50K,<=50K
59,28,Local-gov,Self-emp-not-inc,240030,233149,Prof-school,HS-grad,15,4,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Farming-fishing,Husband,Husband,White,White,Male,Male,0,3818,0,1741,40,18,United-States,United-States,>50K,<=50K
28,28,Private,Private,226089,114774,10th,Bachelors,6,12,Never-married,Married-civ-spouse,Machine-op-inspct,Exec-managerial,Unmarried,Husband,White,White,Female,Male,0,3818,0,1741,40,18,United-States,United-States,<=50K,>50K
17,28,Private,Self-emp-inc,190941,233149,10th,HS-grad,6,12,Never-married,Married-civ-spouse,Sales,Sales,Own-child,Husband,White,White,Female,Male,0,3818,0,1741,20,52,United-States,United-States,<=50K,>50K
21,28,Private,Private,160261,233149,Some-college,HS-grad,10,12,Never-married,Married-civ-spouse,Exec-managerial,Exec-managerial,Own-child,Husband,Asian-Pac-Islander,White,Male,Female,2463,3818,0,1741,50,52,England,United-States,<=50K,<=50K
31,28,Private,Private,208458,114774,HS-grad,Masters,9,12,Divorced,Married-civ-spouse,Sales,Other-service,Unmarried,Husband,Other,White,Female,Male,0,3818,0,1741,40,18,Mexico,United-States,<=50K,<=50K
49,28,Private,Private,112761,233149,HS-grad,Some-college,9,12,Divorced,Married-civ-spouse,Handlers-cleaners,Adm-clerical,Not-in-family,Husband,White,White,Female,Male,0,3818,0,1741,40,18,United-States,Mexico,<=50K,<=50K
48,28,Local-gov,Private,67716,114774,Masters,Some-college,14,12,Married-civ-spouse,Divorced,Prof-specialty,Craft-repair,Husband,Not-in-family,White,White,Male,Male,7688,3818,0,1741,50,52,United-States,United-States,>50K,<=50K
60,28,Self-emp-not-inc,Self-emp-not-inc,121076,233149,Doctorate,HS-grad,16,4,Divorced,Divorced,Sales,Exec-managerial,Not-in-family,Not-in-family,White,White,Male,Male,0,3818,0,1741,20,52,United-States,United-States,<=50K,<=50K
33,28,Self-emp-not-inc,Local-gov,182556,114774,12th,HS-grad,8,12,Never-married,Married-civ-spouse,Transport-moving,Protective-serv,Not-in-family,Husband,White,White,Male,Male,0,3818,0,1741,40,52,United-States,United-States,<=50K,<=50K
40,28,Private,Private,231348,114774,HS-grad,Assoc-voc,9,12,Married-civ-spouse,Married-civ-spouse,Craft-repair,Craft-repair,Husband,Husband,White,White,Male,Male,0,3818,0,1741,40,18,United-States,United-States,<=50K,>50K
42,28,Private,Self-emp-not-inc,55395,233149,Some-college,HS-grad,10,12,Married-civ-spouse,Married-civ-spouse,Craft-repair,Craft-repair,Husband,Husband,White,White,Male,Male,0,3818,0,1741,52,18,United-States,United-States,<=50K,>50K
34,28,Private,Local-gov,344073,233149,HS-grad,Some-college,9,12,Married-civ-spouse,Separated,Transport-moving,Exec-managerial,Husband,Unmarried,White,Black,Male,Male,5013,3818,0,1741,40,52,United-States,United-States,<=50K,<=50K
38,28,Federal-gov,State-gov,318912,114774,Assoc-voc,HS-grad,11,4,Divorced,Married-civ-spouse,Adm-clerical,Adm-clerical,Own-child,Husband,Black,White,Male,Male,0,3818,0,1741,52,18,United-States,United-States,<=50K,<=50K
58,28,Self-emp-not-inc,Private,237546,114774,Some-college,HS-grad,10,12,Married-civ-spouse,Divorced,Exec-managerial,Exec-managerial,Husband,Not-in-family,White,White,Male,Female,0,3818,0,1741,70,18,United-States,United-States,>50K,<=50K
20,28,Private,?,346341,114774,Some-college,Prof-school,10,4,Never-married,Never-married,Adm-clerical,Prof-specialty,Not-in-family,Not-in-family,White,White,Female,Male,0,3818,0,1741,40,18,?,United-States,<=50K,<=50K
52,28,Private,Local-gov,305090,114774,Some-college,Bachelors,10,12,Separated,Married-civ-spouse,Sales,Prof-specialty,Other-relative,Wife,White,White,Female,Female,0,3818,0,1741,55,52,United-States,United-States,<=50K,<=50K
22,28,Local-gov,Private,198478,233149,Some-college,HS-grad,10,12,Married-civ-spouse,Never-married,Protective-serv,Exec-managerial,Husband,Not-in-family,White,White,Male,Male,0,3818,0,1741,40,18,United-States,United-States,<=50K,<=50K
24,28,Private,Private,321435,114774,Bachelors,HS-grad,13,12,Married-civ-spouse,Married-civ-spouse,Farming-fishing,Other-service,Husband,Other-relative,White,White,Male,Male,0,3818,0,1741,35,18,United-States,United-States,>50K,<=50K
39,28,Private,Local-gov,259716,114774,HS-grad,Some-college,9,12,Divorced,Married-civ-spouse,Machine-op-inspct,Farming-fishing,Unmarried,Husband,White,White,Female,Male,0,3818,0,1741,40,18,Mexico,United-States,<=50K,<=50K
41,28,Private,Self-emp-inc,191547,114774,Masters,HS-grad,14,12,Married-civ-spouse,Married-civ-spouse,Exec-managerial,?,Husband,Husband,White,Black,Male,Female,99999,3818,0,1741,55,52,United-States,United-States,>50K,<=50K
37,28,?,Private,171482,233149,Some-college,Some-college,10,12,Married-civ-spouse,Married-civ-spouse,?,Prof-specialty,Husband,Husband,White,White,Male,Male,0,3818,0,1741,30,52,United-States,United-States,<=50K,<=50K
56,28,Private,Private,225927,233149,9th,Bachelors,5,12,Married-civ-spouse,Married-spouse-absent,Craft-repair,Prof-specialty,Husband,Husband,White,White,Male,Male,2580,3818,0,1741,40,18,United-States,United-States,<=50K,<=50K
21,28,Private,State-gov,256504,233149,HS-grad,7th-8th,9,12,Never-married,Married-civ-spouse,Other-service,Protective-serv,Not-in-family,Not-in-family,White,White,Female,Male,0,3818,0,1741,40,18,United-States,United-States,<=50K,<=50K
29,28,Private,?,168526,233149,HS-grad,Assoc-acdm,9,12,Divorced,Married-civ-spouse,Sales,?,Unmarried,Husband,White,White,Female,Male,0,3818,0,1741,25,52,United-States,United-States,<=50K,<=50K
45,28,Private,Private,44489,233149,Assoc-voc,Masters,11,12,Divorced,Married-civ-spouse,Other-service,Prof-specialty,Not-in-family,Not-in-family,White,White,Male,Male,0,3818,0,1741,10,52,United-States,United-States,<=50K,>50K
44,28,Local-gov,Private,159449,114774,Some-college,Masters,10,12,Married-civ-spouse,Married-civ-spouse,Protective-serv,Tech-support,Husband,Husband,White,White,Male,Male,0,3818,0,1741,80,18,United-States,United-States,>50K,>50K
54,28,Private,Private,387540,233149,Masters,Bachelors,14,12,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Prof-specialty,Husband,Not-in-family,White,White,Male,Female,0,3818,0,1741,45,18,United-States,Poland,>50K,<=50K
24,28,Private,Private,314819,233149,Some-college,HS-grad,10,12,Never-married,Married-civ-spouse,Craft-repair,Exec-managerial,Not-in-family,Husband,White,White,Male,Female,2174,3818,0,1741,40,18,United-States,United-States,<=50K,<=50K
40,28,Private,Local-gov,34722,114774,Bachelors,HS-grad,13,12,Married-civ-spouse,Married-civ-spouse,Exec-managerial,?,Husband,Not-in-family,White,White,Male,Male,0,3818,0,1741,50,52,United-States,United-States,<=50K,<=50K
43,28,State-gov,?,125831,233149,Bachelors,Bachelors,13,12,Never-married,Widowed,Prof-specialty,Sales,Own-child,Unmarried,White,White,Male,Female,99999,3818,0,1741,60,18,United-States,Cuba,>50K,<=50K
20,28,?,Private,239805,114774,Some-college,7th-8th,10,12,Never-married,Separated,?,Handlers-cleaners,Not-in-family,Husband,White,White,Male,Male,0,3818,0,1741,16,18,United-States,United-States,<=50K,<=50K
41,28,Self-emp-not-inc,Self-emp-not-inc,264663,114774,11th,Some-college,7,12,Divorced,Married-civ-spouse,Other-service,Craft-repair,Not-in-family,Husband,White,White,Female,Male,0,3818,0,1741,40,18,United-States,United-States,<=50K,<=50K
32,28,Private,Private,294121,233149,Assoc-voc,Doctorate,11,12,Divorced,Divorced,Adm-clerical,Prof-specialty,Not-in-family,Not-in-family,White,White,Female,Female,0,3818,0,1741,40,52,United-States,United-States,<=50K,>50K
31,28,Private,Private,83912,114774,Bachelors,Bachelors,13,12,Married-civ-spouse,Divorced,Adm-clerical,Exec-managerial,Wife,Husband,White,White,Female,Female,0,3818,0,1741,25,52,Mexico,United-States,<=50K,>50K
26,28,Private,Private,241626,233149,HS-grad,12th,9,4,Divorced,Married-civ-spouse,Adm-clerical,Other-service,Not-in-family,Husband,White,White,Male,Male,0,3818,0,1741,40,18,United-States,Jamaica,<=50K,<=50K
50,28,State-gov,Private,137815,233149,Bachelors,10th,13,12,Married-civ-spouse,Widowed,Craft-repair,Sales,Husband,Not-in-family,White,Black,Male,Male,0,3818,0,1741,40,18,United-States,United-States,>50K,<=50K
62,28,Self-emp-inc,Private,153891,233149,Assoc-voc,HS-grad,11,12,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Craft-repair,Husband,Husband,White,White,Male,Male,3137,3818,0,1741,40,18,United-States,United-States,<=50K,<=50K
24,28,Private,Private,83774,233149,HS-grad,HS-grad,9,4,Married-civ-spouse,Married-civ-spouse,Other-service,Prof-specialty,Husband,Wife,White,White,Male,Male,2885,3818,0,1741,45,18,United-States,United-States,<=50K,<=50K
58,28,Private,Private,199067,233149,Bachelors,Bachelors,13,12,Divorced,Married-civ-spouse,Exec-managerial,Prof-specialty,Not-in-family,Husband,White,White,Male,Male,0,3818,0,1741,65,52,United-States,United-States,>50K,<=50K
44,28,Self-emp-inc,Private,57233,114774,Some-college,Some-college,10,12,Married-civ-spouse,Divorced,Craft-repair,Adm-clerical,Husband,Unmarried,White,Black,Male,Female,0,3818,0,1741,40,18,United-States,United-States,>50K,<=50K
44,28,Private,Private,211517,233149,12th,Bachelors,8,12,Divorced,Separated,Other-service,?,Not-in-family,Not-in-family,White,White,Male,Male,0,3818,0,1741,40,18,United-States,?,<=50K,<=50K
37,28,Self-emp-inc,Private,132879,114774,Some-college,Assoc-voc,10,12,Married-civ-spouse,Married-civ-spouse,Transport-moving,Tech-support,Husband,Husband,White,White,Male,Male,0,3818,0,1741,50,18,United-States,United-States,>50K,<=50K
65,28,Self-emp-not-inc,Local-gov,72776,233149,7th-8th,7th-8th,4,12,Never-married,Divorced,Farming-fishing,Adm-clerical,Not-in-family,Husband,White,White,Male,Female,2964,3818,0,1741,40,18,United-States,?,<=50K,<=50K
33,28,Private,Private,54318,233149,HS-grad,HS-grad,9,12,Married-civ-spouse,Separated,Craft-repair,Other-service,Husband,Unmarried,White,Black,Male,Female,0,3818,0,1741,40,18,United-States,United-States,>50K,<=50K
34,28,?,Private,143582,233149,HS-grad,HS-grad,9,12,Married-spouse-absent,Married-civ-spouse,?,?,Not-in-family,Husband,Asian-Pac-Islander,White,Female,Male,0,3818,0,1741,37,18,Taiwan,United-States,<=50K,<=50K
56,28,Self-emp-not-inc,State-gov,174564,233149,Masters,HS-grad,14,12,Married-civ-spouse,Separated,Prof-specialty,Tech-support,Husband,Wife,White,White,Male,Female,0,3818,0,1741,60,52,United-States,United-States,>50K,<=50K
35,28,Private,Private,179579,233149,Masters,Some-college,14,12,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Sales,Husband,Own-child,White,White,Male,Male,0,3818,1977,1741,48,18,United-States,United-States,>50K,<=50K
33,28,Private,Private,187618,233149,Bachelors,Bachelors,13,12,Never-married,Married-civ-spouse,Prof-specialty,Exec-managerial,Own-child,Husband,White,White,Male,Male,0,3818,1741,1741,40,52,United-States,United-States,<=50K,>50K
35,28,Private,Private,186819,114774,Bachelors,HS-grad,13,12,Married-civ-spouse,Never-married,Tech-support,Other-service,Husband,Not-in-family,White,White,Male,Male,0,3818,0,1741,48,18,United-States,United-States,<=50K,<=50K
47,28,Self-emp-not-inc,Private,60087,114774,Some-college,HS-grad,10,12,Married-spouse-absent,Married-civ-spouse,Exec-managerial,Craft-repair,Not-in-family,Husband,White,White,Female,Male,0,3818,0,1741,60,52,United-States,United-States,<=50K,<=50K
35,28,Self-emp-not-inc,Self-emp-not-inc,28987,233149,9th,Assoc-voc,5,12,Married-civ-spouse,Married-civ-spouse,Craft-repair,Prof-specialty,Husband,Not-in-family,Amer-Indian-Eskimo,White,Male,Male,0,3818,0,1741,96,52,United-States,United-States,<=50K,<=50K
56,28,Private,Federal-gov,187355,114774,Some-college,HS-grad,10,12,Divorced,Married-civ-spouse,Sales,Exec-managerial,Unmarried,Husband,White,White,Female,Male,0,3818,0,1741,40,18,United-States,United-States,<=50K,>50K
29,28,Self-emp-inc,?,218555,114774,Masters,10th,14,12,Never-married,Married-civ-spouse,Prof-specialty,Exec-managerial,Own-child,Husband,White,White,Male,Male,0,3818,0,1741,40,52,United-States,United-States,<=50K,>50K
53,28,Self-emp-inc,Private,94214,114774,Prof-school,Bachelors,15,12,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Prof-specialty,Husband,Not-in-family,Asian-Pac-Islander,White,Male,Male,7298,3818,0,1741,50,18,Thailand,?,>50K,>50K
42,28,Private,Private,204729,114774,Assoc-voc,HS-grad,11,4,Separated,Married-civ-spouse,Sales,Sales,Unmarried,Wife,Black,White,Female,Female,0,3818,0,1741,25,18,United-States,United-States,<=50K,<=50K
20,28,?,Self-emp-inc,281668,233149,Some-college,Bachelors,10,12,Never-married,Divorced,?,Protective-serv,Other-relative,Not-in-family,Black,White,Female,Male,0,3818,0,1741,40,18,United-States,United-States,<=50K,<=50K
24,28,Private,Self-emp-not-inc,236696,233149,Bachelors,HS-grad,13,12,Never-married,Married-civ-spouse,Tech-support,Craft-repair,Not-in-family,Husband,White,White,Male,Male,0,3818,0,1741,50,18,Taiwan,United-States,<=50K,<=50K
33,28,Private,Self-emp-not-inc,179747,114774,HS-grad,11th,9,4,Married-civ-spouse,Married-civ-spouse,Machine-op-inspct,Exec-managerial,Husband,Husband,White,White,Male,Male,0,3818,0,1741,40,52,United-States,?,<=50K,>50K
42,28,Private,Private,187322,233149,10th,Some-college,6,12,Married-civ-spouse,Married-civ-spouse,Sales,Other-service,Husband,Unmarried,White,White,Male,Male,0,3818,0,1741,45,18,United-States,United-States,<=50K,<=50K
38,28,State-gov,Private,116975,114774,Some-college,Some-college,10,12,Married-civ-spouse,Divorced,Protective-serv,Adm-clerical,Husband,Not-in-family,White,Asian-Pac-Islander,Male,Female,0,3818,1887,1741,50,18,United-States,United-States,>50K,<=50K
32,28,Private,Self-emp-inc,205950,114774,HS-grad,Assoc-voc,9,12,Never-married,Married-civ-spouse,Machine-op-inspct,Adm-clerical,Own-child,Husband,White,White,Male,Male,0,3818,0,1741,40,52,United-States,United-States,<=50K,<=50K
20,28,Self-emp-not-inc,Private,190968,233149,7th-8th,Assoc-voc,4,12,Never-married,Married-civ-spouse,Craft-repair,Other-service,Own-child,Husband,White,White,Male,Female,0,3818,0,1741,20,18,United-States,United-States,<=50K,<=50K
32,28,Private,?,160458,114774,HS-grad,Some-college,9,12,Married-civ-spouse,Married-civ-spouse,Craft-repair,?,Husband,Wife,White,Black,Male,Female,0,3818,0,1741,50,18,United-States,United-States,<=50K,<=50K
28,28,Local-gov,Private,190911,233149,Some-college,Some-college,10,12,Married-civ-spouse,Married-civ-spouse,Protective-serv,Craft-repair,Husband,Husband,White,White,Male,Male,0,3818,0,1741,40,18,United-States,United-States,>50K,<=50K
51,28,Private,Private,85382,114774,HS-grad,Some-college,9,12,Married-civ-spouse,Married-civ-spouse,Craft-repair,Sales,Husband,Not-in-family,White,Black,Male,Female,0,3818,0,1741,55,18,United-States,United-States,>50K,<=50K
41,28,Local-gov,State-gov,129793,233149,HS-grad,Bachelors,9,12,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Own-child,Husband,White,White,Male,Male,0,3818,0,1741,30,52,United-States,United-States,<=50K,<=50K
37,28,Local-gov,Private,270181,114774,Assoc-acdm,HS-grad,12,4,Married-spouse-absent,Widowed,Other-service,Craft-repair,Unmarried,Unmarried,Black,Other,Female,Female,0,3818,0,1741,50,18,United-States,United-States,<=50K,<=50K
23,28,Private,Private,243723,233149,HS-grad,Bachelors,9,12,Married-civ-spouse,Married-civ-spouse,Other-service,Tech-support,Wife,Husband,White,White,Female,Male,0,3818,0,1741,40,18,United-States,United-States,<=50K,>50K
40,28,Private,Private,168113,114774,HS-grad,Some-college,9,12,Married-civ-spouse,Married-civ-spouse,Craft-repair,Exec-managerial,Husband,Other-relative,White,White,Male,Male,0,3818,0,1741,40,18,United-States,United-States,<=50K,<=50K
47,28,Private,Self-emp-not-inc,652784,233149,10th,HS-grad,6,4,Married-civ-spouse,Married-civ-spouse,Machine-op-inspct,Transport-moving,Husband,Husband,White,White,Male,Male,0,3818,0,1741,40,52,United-States,United-States,<=50K,<=50K
46,28,Self-emp-not-inc,Private,315984,114774,HS-grad,HS-grad,9,12,Married-civ-spouse,Widowed,Exec-managerial,Exec-managerial,Husband,Not-in-family,White,White,Male,Female,0,3818,0,1741,50,52,United-States,United-States,<=50K,>50K
24,28,Private,Private,311311,114774,Bachelors,Assoc-voc,13,12,Never-married,Divorced,Sales,Tech-support,Not-in-family,Husband,White,White,Male,Male,0,3818,0,1741,40,18,United-States,United-States,<=50K,<=50K
40,28,Private,Private,111336,233149,HS-grad,Masters,9,12,Divorced,Married-civ-spouse,Machine-op-inspct,Craft-repair,Unmarried,Husband,Black,White,Female,Male,0,3818,0,1741,28,18,United-States,United-States,<=50K,<=50K
30,28,Self-emp-not-inc,Self-emp-not-inc,100252,114774,HS-grad,7th-8th,9,12,Married-civ-spouse,Married-civ-spouse,Machine-op-inspct,Prof-specialty,Own-child,Not-in-family,Asian-Pac-Islander,White,Male,Female,0,3818,0,1741,60,18,South,United-States,<=50K,>50K
41,28,State-gov,Private,186990,233149,Prof-school,HS-grad,15,4,Widowed,Married-civ-spouse,Prof-specialty,Transport-moving,Not-in-family,Husband,Other,White,Female,Male,0,3818,0,1741,52,18,United-States,United-States,>50K,>50K
37,28,State-gov,Private,241633,233149,Bachelors,Some-college,13,12,Married-civ-spouse,Married-civ-spouse,Adm-clerical,Adm-clerical,Wife,Own-child,Black,Black,Female,Female,0,3818,0,1741,45,18,United-States,United-States,>50K,<=50K
49,28,Federal-gov,Private,252616,233149,HS-grad,11th,9,4,Married-civ-spouse,Married-civ-spouse,Transport-moving,Craft-repair,Husband,Husband,Asian-Pac-Islander,Black,Male,Male,0,3818,0,1741,40,52,Philippines,United-States,<=50K,<=50K
41,28,Federal-gov,Local-gov,46366,233149,Bachelors,Bachelors,13,12,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Prof-specialty,Wife,Husband,Black,White,Female,Male,0,3818,0,1741,50,18,United-States,United-States,>50K,<=50K
52,28,Local-gov,State-gov,266138,233149,Assoc-voc,Bachelors,11,12,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Exec-managerial,Husband,Husband,White,White,Male,Male,0,3818,0,1741,35,52,United-States,United-States,<=50K,>50K
23,28,Private,Private,32732,233149,Some-college,Bachelors,10,12,Never-married,Married-civ-spouse,Sales,Prof-specialty,Not-in-family,Unmarried,White,White,Male,Male,0,3818,0,1741,50,18,United-States,United-States,<=50K,<=50K
34,28,Private,?,361978,114774,HS-grad,Some-college,9,4,Divorced,Married-civ-spouse,Craft-repair,Craft-repair,Unmarried,Husband,Black,White,Female,Male,1471,3818,0,1741,40,52,United-States,United-States,<=50K,<=50K
25,28,State-gov,Private,77661,114774,Bachelors,HS-grad,13,12,Never-married,Married-civ-spouse,Exec-managerial,Transport-moving,Not-in-family,Unmarried,White,White,Female,Male,0,3818,2444,1741,40,52,United-States,United-States,>50K,<=50K
44,28,Self-emp-inc,Private,60087,114774,HS-grad,HS-grad,9,12,Married-civ-spouse,Married-civ-spouse,Craft-repair,Handlers-cleaners,Husband,Not-in-family,White,White,Male,Male,0,3818,0,1741,45,18,United-States,United-States,>50K,<=50K
31,28,Local-gov,Private,197550,114774,HS-grad,Assoc-voc,9,12,Divorced,Never-married,Prof-specialty,Exec-managerial,Unmarried,Husband,White,White,Male,Male,0,3818,0,1741,33,18,United-States,United-States,<=50K,<=50K
53,28,Private,Private,170701,233149,Bachelors,HS-grad,13,12,Divorced,Married-civ-spouse,Adm-clerical,Adm-clerical,Unmarried,Husband,White,White,Female,Male,0,3818,0,1741,40,18,United-States,United-States,<=50K,>50K
62,28,Private,Local-gov,159822,114774,HS-grad,Bachelors,9,12,Married-civ-spouse,Never-married,Exec-managerial,Prof-specialty,Husband,Not-in-family,White,White,Male,Female,0,3818,0,1741,50,52,United-States,United-States,<=50K,<=50K
35,28,Private,Federal-gov,211494,114774,Bachelors,HS-grad,13,12,Never-married,Married-civ-spouse,Exec-managerial,Adm-clerical,Not-in-family,Wife,White,White,Male,Female,0,3818,1876,1741,55,18,United-States,United-States,<=50K,>50K
30,28,Federal-gov,Private,340899,114774,Bachelors,HS-grad,13,12,Never-married,Never-married,Prof-specialty,Farming-fishing,Not-in-family,Not-in-family,White,Black,Male,Male,0,3818,0,1741,40,18,United-States,United-States,<=50K,<=50K
48,28,State-gov,Private,224752,114774,HS-grad,HS-grad,9,12,Married-civ-spouse,Never-married,Adm-clerical,Other-service,Wife,Not-in-family,White,White,Female,Female,0,3818,0,1741,40,18,United-States,United-States,>50K,<=50K
36,28,Private,Local-gov,102568,233149,Bachelors,HS-grad,13,12,Never-married,Married-civ-spouse,Prof-specialty,Adm-clerical,Not-in-family,Wife,White,White,Female,Female,0,3818,0,1741,40,52,United-States,United-States,>50K,>50K
32,28,Private,Local-gov,220690,114774,11th,HS-grad,7,12,Divorced,Divorced,Other-service,Protective-serv,Not-in-family,Unmarried,White,White,Male,Male,0,3818,0,1741,33,18,United-States,United-States,<=50K,<=50K
22,28,Private,Self-emp-inc,303170,114774,Some-college,Doctorate,10,12,Never-married,Married-civ-spouse,Priv-house-serv,Exec-managerial,Own-child,Husband,White,White,Female,Male,0,3818,0,1741,28,52,United-States,United-States,<=50K,>50K
17,28,?,Private,143331,233149,11th,Bachelors,7,12,Never-married,Never-married,?,Sales,Own-child,Not-in-family,White,White,Male,Male,0,3818,0,1741,40,52,United-States,United-States,<=50K,>50K
19,28,Private,Private,192162,233149,HS-grad,10th,9,4,Never-married,Widowed,Prof-specialty,Other-service,Not-in-family,Husband,White,White,Female,Female,0,3818,0,1741,40,52,United-States,United-States,<=50K,<=50K
26,28,Private,State-gov,201635,233149,HS-grad,Some-college,9,12,Never-married,Married-spouse-absent,Adm-clerical,Other-service,Not-in-family,Other-relative,White,White,Female,Male,0,3818,0,1741,40,18,United-States,United-States,<=50K,<=50K
20,28,?,Self-emp-not-inc,55263,114774,Some-college,Some-college,10,12,Never-married,Married-civ-spouse,?,Sales,Own-child,Wife,White,White,Male,Female,0,3818,0,1741,40,18,United-States,United-States,<=50K,<=50K
56,28,State-gov,Self-emp-not-inc,133728,114774,Some-college,Bachelors,10,12,Married-civ-spouse,Divorced,Exec-managerial,Sales,Husband,Not-in-family,White,White,Male,Female,0,3818,0,1741,35,52,United-States,United-States,>50K,<=50K
45,28,Private,Private,347025,233149,7th-8th,HS-grad,4,12,Widowed,Married-civ-spouse,Other-service,Machine-op-inspct,Unmarried,Not-in-family,White,White,Female,Male,0,3818,0,1741,21,18,United-States,United-States,<=50K,<=50K
23,28,Private,Private,110998,114774,Some-college,Some-college,10,12,Never-married,Married-civ-spouse,Adm-clerical,Farming-fishing,Own-child,Husband,Asian-Pac-Islander,White,Female,Female,0,3818,0,1741,40,18,Philippines,United-States,<=50K,<=50K
31,28,Private,Private,122347,233149,HS-grad,5th-6th,9,4,Separated,Widowed,Handlers-cleaners,Farming-fishing,Not-in-family,Not-in-family,White,White,Male,Male,0,3818,0,1741,40,18,United-States,United-States,<=50K,<=50K
30,28,Private,Private,127875,233149,11th,HS-grad,7,12,Never-married,Divorced,Sales,Prof-specialty,Unmarried,Unmarried,White,White,Female,Male,0,3818,0,1741,8,52,United-States,United-States,<=50K,<=50K
42,28,Private,Private,167534,233149,HS-grad,Assoc-voc,9,12,Married-civ-spouse,Married-civ-spouse,Handlers-cleaners,Tech-support,Husband,Wife,White,White,Male,Female,5013,3818,0,1741,35,18,United-States,United-States,<=50K,>50K
27,28,State-gov,Private,152560,114774,Prof-school,HS-grad,15,4,Married-civ-spouse,Never-married,Prof-specialty,Sales,Husband,Not-in-family,White,White,Male,Male,0,3818,0,1741,60,18,United-States,United-States,<=50K,<=50K
37,28,Private,Local-gov,265144,233149,Bachelors,Assoc-voc,13,12,Married-civ-spouse,Divorced,Exec-managerial,Tech-support,Husband,Not-in-family,White,White,Male,Male,0,3818,0,1741,50,52,United-States,United-States,>50K,<=50K
31,28,Private,Private,302679,114774,HS-grad,Some-college,9,12,Never-married,Divorced,Machine-op-inspct,Adm-clerical,Not-in-family,Unmarried,White,White,Male,Female,0,3818,0,1741,60,18,United-States,United-States,<=50K,<=50K
